case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
1,0,▶,,normal,-,-
1,1,Activity A,,normal,-,-
1,2,Activity C,,normal,-,-
1,3,Activity D,,normal,-,-
1,4,Activity E,,normal,-,-
1,5,Activity H,,normal,-,-
1,6,Activity F,,normal,-,-
1,7,Activity I,,normal,-,-
1,8,Activity M,,normal,-,-
1,9,Activity N,,normal,-,-
1,10,Activity J,,normal,-,-
1,11,Activity B,,normal,-,-
1,12,■,,normal,-,-
2,0,▶,,normal,-,-
2,1,Activity A,,normal,-,-
2,2,Activity C,,normal,-,-
2,3,Activity D,,normal,-,-
2,4,Activity E,,normal,-,-
2,5,Activity H,,normal,-,-
2,6,Activity F,,normal,-,-
2,7,Activity I,,normal,-,-
2,8,Activity M,,normal,-,-
2,9,Activity N,,normal,-,-
2,10,Activity J,,normal,-,-
2,11,Activity B,,normal,-,-
2,12,■,,normal,-,-
3,0,▶,,normal,-,-
3,1,Activity A,,normal,-,-
3,2,Activity C,,normal,-,-
3,3,Activity D,,normal,-,-
3,4,Activity E,,normal,-,-
3,5,Activity H,,normal,-,-
3,6,Activity F,,normal,-,-
3,7,Activity I,,normal,-,-
3,8,Activity M,,normal,-,-
3,9,Activity N,,normal,-,-
3,10,Activity J,,normal,-,-
3,11,Activity B,,normal,-,-
3,12,■,,normal,-,-
4,0,▶,,normal,-,-
4,1,Activity A,,normal,-,-
4,2,Activity AB,,normal,-,-
4,3,Activity AE,,normal,-,-
4,4,Activity AC,,normal,-,-
4,5,Activity AG,,normal,-,-
4,6,Activity AJ,,normal,-,-
4,7,Activity AH,,normal,-,-
4,8,Activity AL,,normal,-,-
4,9,Activity AO,,normal,-,-
4,10,Activity AM,,normal,-,-
4,11,Activity AP,,normal,-,-
4,12,Activity B,,normal,-,-
4,13,■,,normal,-,-
5,0,▶,,normal,-,-
5,1,Activity A,,normal,-,-
5,2,Activity AB,,normal,-,-
5,3,Activity AD,,normal,-,-
5,4,Activity AC,,normal,-,-
5,5,Activity AG,,normal,-,-
5,6,Activity AJ,,normal,-,-
5,7,Activity AH,,normal,-,-
5,8,Activity AL,,normal,-,-
5,9,Activity AO,,normal,-,-
5,10,Activity AM,,normal,-,-
5,11,Activity AP,,normal,-,-
5,12,Activity B,,normal,-,-
5,13,■,,normal,-,-
6,0,▶,,normal,-,-
6,1,Activity A,,normal,-,-
6,2,Activity Q,,normal,-,-
6,3,Activity R,,normal,-,-
6,4,Activity S,,normal,-,-
6,5,Activity T,,normal,-,-
6,6,Activity U,,normal,-,-
6,7,Activity V,,normal,-,-
6,8,Activity AA,,normal,-,-
6,9,Activity W,,normal,-,-
6,10,Activity B,,normal,-,-
6,11,■,,normal,-,-
7,0,▶,,normal,-,-
7,1,Activity A,,normal,-,-
7,2,Activity AB,,normal,-,-
7,3,Activity AD,,normal,-,-
7,4,Activity AC,,normal,-,-
7,5,Activity AG,,normal,-,-
7,6,Activity AK,,normal,-,-
7,7,Activity AH,,normal,-,-
7,8,Activity AL,,normal,-,-
7,9,Activity AN,,normal,-,-
7,10,Activity AM,,normal,-,-
7,11,Activity AP,,normal,-,-
7,12,Activity B,,normal,-,-
7,13,■,,normal,-,-
8,0,▶,,normal,-,-
8,1,Activity A,,normal,-,-
8,2,Activity AB,,normal,-,-
