case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Velda,normal,-,-
1,2,Activity AI,,Sharee,normal,-,-
1,3,Activity AL,,Rossana,normal,-,-
1,4,Activity AM,,Marilyn,normal,-,-
1,5,Activity AN,,Vickie,normal,-,-
1,6,Activity AO,,Jack,normal,-,-
1,7,Activity AJ,,Donald,normal,-,-
1,8,Activity B,,Alyce,normal,-,-
1,9,■,,■,normal,-,-
2,0,▶,,▶,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,1,Activity N,,Issac,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,2,Activity M,,Steve,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,3,Activity R,,Brant,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,4,Activity AC,,Steve,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,5,Activity A,,Micheline,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,6,Activity L,,Howard,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,7,Activity AH,,Howard,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,8,Activity AD,,Craig,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,9,Activity S,,Lannie,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,10,Activity B,,Micheline,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,11,■,,■,anomalous,Late,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Ronald,normal,-,-
3,2,Activity AI,,Pam,normal,-,-
3,3,Activity AP,,Chan,normal,-,-
3,4,Activity AQ,,Jamika,normal,-,-
3,5,Activity AR,,Jack,normal,-,-
3,6,Activity AS,,Anna,normal,-,-
3,7,Activity AJ,,Ling,normal,-,-
3,8,Activity B,,Brant,normal,-,-
3,9,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Steve,normal,-,-
4,2,Activity C,,Hannah,normal,-,-
4,3,Activity D,,Hugo,normal,-,-
4,4,Activity E,,Lannie,normal,-,-
4,5,Activity H,,James,normal,-,-
4,6,Activity F,,Sandra,normal,-,-
4,7,Activity J,,Grayce,normal,-,-
4,8,Activity K,,Issac,normal,-,-
4,9,Activity B,,Alyce,normal,-,-
4,10,■,,■,normal,-,-
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Micheline,normal,-,-
5,2,Activity L,,Howard,normal,-,-
5,3,Activity N,,Issac,normal,-,-
5,4,Activity M,,Steve,normal,-,-
5,5,Activity R,,Amanda,normal,-,-
5,6,Activity W,,Chan,normal,-,-
5,7,Activity AB,,Junior,normal,-,-
5,8,Activity X,,Ryan,normal,-,-
5,9,Activity S,,Keven,normal,-,-
5,10,Activity B,,Hoyt,normal,-,-
5,11,■,,■,normal,-,-
6,0,▶,,▶,normal,-,-
6,1,Activity A,,Steve,normal,-,-
6,2,Activity C,,Hannah,normal,-,-
6,3,Activity D,,Hugo,normal,-,-
6,4,Activity E,,Brant,normal,-,-
6,5,Activity G,,Alpha,normal,-,-
6,6,Activity F,,Jimmy,normal,-,-
6,7,Activity J,,Tiffiny,normal,-,-
6,8,Activity K,,Sherell,normal,-,-
6,9,Activity B,,Alyce,normal,-,-
6,10,■,,■,normal,-,-
7,0,▶,,▶,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,1,Activity AP,,Chan,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,2,Activity AQ,,Jamika,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,3,Activity AR,,Lucy,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,4,Activity AS,,Josef,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,5,Activity AJ,,Donald,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,6,Activity A,,Ronald,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,7,Activity AI,,Pam,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,8,Activity B,,Alyce,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,9,■,,■,anomalous,Late,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
8,0,▶,,▶,normal,-,-
8,1,Activity A,,Doretta,normal,-,-
8,2,Activity C,,Hannah,normal,-,-
8,3,Activity D,,Hugo,normal,-,-
8,4,Activity E,,Lannie,normal,-,-
8,5,Activity H,,Josef,normal,-,-
8,6,Activity F,,Sandra,normal,-,-
8,7,Activity J,,Tiffiny,normal,-,-
8,8,Activity K,,Ryan,normal,-,-
8,9,Activity B,,Alyce,normal,-,-
8,10,■,,■,normal,-,-
9,0,▶,,▶,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,1,Activity L,,Howard,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,2,Activity N,,Ryan,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,3,Activity A,,Micheline,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,4,Activity M,,Steve,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,5,Activity R,,Melany,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,6,Activity V,,Jimmy,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,7,Activity S,,Sonia,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,8,Activity B,,Alyce,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,9,■,,■,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
10,0,▶,,▶,normal,-,-
10,1,Activity A,,Micheline,normal,-,-
10,2,Activity L,,Donald,normal,-,-
10,3,Activity P,,Deloras,normal,-,-
10,4,Activity Q,,Donald,normal,-,-
10,5,Activity M,,Howard,normal,-,-
10,6,Activity R,,Joe,normal,-,-
10,7,Activity AC,,Roseanne,normal,-,-
10,8,Activity AF,,Gema,normal,-,-
10,9,Activity AD,,Ling,normal,-,-
10,10,Activity S,,Jack,normal,-,-
10,11,Activity B,,Alyce,normal,-,-
10,12,■,,■,normal,-,-
11,0,▶,,▶,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,1,Activity A,,Ronald,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,2,Activity AM,,Marilyn,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,3,Activity AN,,Vickie,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,4,Activity AI,,Lisa,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,5,Activity AL,,Rossana,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,6,Activity AO,,Evelin,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,7,Activity AJ,,Charles,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,8,Activity B,,Brant,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
11,9,■,,■,anomalous,Late,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
12,0,▶,,▶,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,1,Activity A,,Velda,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,2,Activity AI,,Pam,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,3,Activity AR,,Lucy,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,4,Activity AS,,Clayton,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,5,Activity AP,,Chan,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,6,Activity AQ,,Jamika,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,7,Activity AJ,,Ling,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,8,Activity B,,Brant,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
12,9,■,,■,anomalous,Late,"{'shift_from': 2, 'shift_to': 4, 'size': 2}"
13,0,▶,,▶,normal,-,-
13,1,Activity A,,Amanda,normal,-,-
13,2,Activity C,,Hannah,normal,-,-
13,3,Activity D,,Hugo,normal,-,-
13,4,Activity E,,Lannie,normal,-,-
13,5,Activity H,,Keven,normal,-,-
13,6,Activity F,,Jimmy,normal,-,-
13,7,Activity J,,Ryan,normal,-,-
13,8,Activity K,,Tiffiny,normal,-,-
13,9,Activity B,,Alyce,normal,-,-
13,10,■,,■,normal,-,-
14,0,▶,,▶,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,1,Activity A,,Steve,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,2,Activity C,,Hannah,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,3,Activity D,,Hugo,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,4,Activity G,,Issac,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,5,Activity F,,Jimmy,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,6,Activity J,,Tiffiny,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,7,Activity E,,Keven,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,8,Activity K,,Ryan,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,9,Activity B,,Alyce,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
14,10,■,,■,anomalous,Late,"{'shift_from': 3, 'shift_to': 6, 'size': 1}"
15,0,▶,,▶,normal,-,-
15,1,Activity A,,Amanda,normal,-,-
15,2,Activity C,,Hannah,normal,-,-
15,3,Activity D,,Hugo,normal,-,-
15,4,Activity E,,Lannie,normal,-,-
15,5,Activity H,,Josef,normal,-,-
15,6,Activity F,,Sandra,normal,-,-
15,7,Activity J,,Tiffiny,normal,-,-
15,8,Activity K,,Ryan,normal,-,-
15,9,Activity B,,Alyce,normal,-,-
15,10,■,,■,normal,-,-
16,0,▶,,▶,anomalous,Late,"{'shift_from': 4, 'shift_to': 6, 'size': 2}"
16,1,Activity A,,Steve,anomalous,Late,"{'shift_from': 4, 'shift_to': 6, 'size': 2}"
16,2,Activity C,,Hannah,anomalous,Late,"{'shift_from': 4, 'shift_to': 6, 'size': 2}"
16,3,Activity D,,Hugo,anomalous,Late,"{'shift_from': 4, 'shift_to': 6, 'size': 2}"
