case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Doretta,normal,-,-
1,2,Activity C,,Jack,normal,-,-
1,3,Activity F,,Howard,normal,-,-
1,4,Activity D,,Wilton,normal,-,-
1,5,Activity I,,Maryellen,normal,-,-
1,6,Activity K,,Issac,normal,-,-
1,7,Activity J,,Velda,normal,-,-
1,8,Activity B,,Michaele,normal,-,-
1,9,■,,■,normal,-,-
2,0,▶,,▶,anomalous,Insert,{'indices': [1]}
2,1,Activity A,,Rossana,anomalous,Insert,{'indices': [1]}
2,2,Random activity 16,,Random user 38,anomalous,Insert,{'indices': [1]}
2,3,Activity O,,Ronald,anomalous,Insert,{'indices': [1]}
2,4,Activity U,,Velda,anomalous,Insert,{'indices': [1]}
2,5,Activity X,,Pam,anomalous,Insert,{'indices': [1]}
2,6,Activity V,,Maryellen,anomalous,Insert,{'indices': [1]}
2,7,Activity P,,Ryan,anomalous,Insert,{'indices': [1]}
2,8,Activity B,,Alpha,anomalous,Insert,{'indices': [1]}
2,9,■,,■,anomalous,Insert,{'indices': [1]}
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Shandi,normal,-,-
3,2,Activity Y,,Marilyn,normal,-,-
3,3,Activity B,,Michaele,normal,-,-
3,4,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Steve,normal,-,-
4,2,Activity C,,Keven,normal,-,-
4,3,Activity G,,Steve,normal,-,-
4,4,Activity D,,Emily,normal,-,-
4,5,Activity I,,Keven,normal,-,-
4,6,Activity L,,Sandra,normal,-,-
4,7,Activity J,,Gema,normal,-,-
4,8,Activity B,,Carmella,normal,-,-
4,9,■,,■,normal,-,-
5,0,▶,,▶,anomalous,Insert,"{'indices': [0, 4]}"
5,1,Random activity 13,,Random user 54,anomalous,Insert,"{'indices': [0, 4]}"
5,2,Activity A,,Doretta,anomalous,Insert,"{'indices': [0, 4]}"
5,3,Activity C,,Della,anomalous,Insert,"{'indices': [0, 4]}"
5,4,Activity G,,Steve,anomalous,Insert,"{'indices': [0, 4]}"
5,5,Random activity 20,,Random user 14,anomalous,Insert,"{'indices': [0, 4]}"
5,6,Activity D,,Deloras,anomalous,Insert,"{'indices': [0, 4]}"
5,7,Activity I,,Howard,anomalous,Insert,"{'indices': [0, 4]}"
5,8,Activity M,,Howard,anomalous,Insert,"{'indices': [0, 4]}"
5,9,Activity J,,Brian,anomalous,Insert,"{'indices': [0, 4]}"
5,10,Activity B,,Michaele,anomalous,Insert,"{'indices': [0, 4]}"
5,11,■,,■,anomalous,Insert,"{'indices': [0, 4]}"
6,0,▶,,▶,normal,-,-
6,1,Activity A,,Keven,normal,-,-
6,2,Activity O,,Brian,normal,-,-
6,3,Activity U,,Velda,normal,-,-
6,4,Activity X,,Jin,normal,-,-
6,5,Activity V,,Maryellen,normal,-,-
6,6,Activity P,,Ryan,normal,-,-
6,7,Activity B,,Maryellen,normal,-,-
6,8,■,,■,normal,-,-
7,0,▶,,▶,normal,-,-
7,1,Activity A,,Rossana,normal,-,-
7,2,Activity O,,Ronald,normal,-,-
7,3,Activity U,,Jimmy,normal,-,-
7,4,Activity W,,Evelin,normal,-,-
