case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,1,Activity A,,Vickie,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,2,Activity AI,,Sharee,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,3,Activity AL,,Rossana,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,4,Activity AM,,Della,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,5,Activity AN,,Vickie,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,6,Activity AO,,Roy,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,7,Activity AJ,,Donald,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,8,Activity B,,Alyce,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
1,9,■,,■,anomalous,Attribute,"{'index': [0, 3, 5], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Marilyn', 'Jack']}"
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Micheline,normal,-,-
2,2,Activity L,,Howard,normal,-,-
2,3,Activity N,,Issac,normal,-,-
2,4,Activity M,,Steve,normal,-,-
2,5,Activity R,,Brant,normal,-,-
2,6,Activity AC,,Steve,normal,-,-
2,7,Activity AH,,Howard,normal,-,-
2,8,Activity AD,,Craig,normal,-,-
2,9,Activity S,,Lannie,normal,-,-
2,10,Activity B,,Micheline,normal,-,-
2,11,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Ronald,normal,-,-
3,2,Activity AI,,Pam,normal,-,-
3,3,Activity AP,,Chan,normal,-,-
3,4,Activity AQ,,Jamika,normal,-,-
3,5,Activity AR,,Jack,normal,-,-
3,6,Activity AS,,Anna,normal,-,-
3,7,Activity AJ,,Ling,normal,-,-
3,8,Activity B,,Brant,normal,-,-
3,9,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Steve,normal,-,-
4,2,Activity C,,Hannah,normal,-,-
4,3,Activity D,,Hugo,normal,-,-
