case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity BC,,Doretta,normal,-,-
1,3,Activity BD,,Hugo,normal,-,-
1,4,Activity C,,Brant,normal,-,-
1,5,Activity D,,Alpha,normal,-,-
1,6,Activity E,,Emily,normal,-,-
1,7,Activity I,,Johnny,normal,-,-
1,8,Activity F,,Sherlene,normal,-,-
1,9,Activity J,,Alyce,normal,-,-
1,10,Activity K,,Lannie,normal,-,-
1,11,Activity B,,James,normal,-,-
1,12,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Sherlene,normal,-,-
2,2,Activity BC,,Doretta,normal,-,-
2,3,Activity BD,,Lourdes,normal,-,-
2,4,Activity L,,Howard,normal,-,-
2,5,Activity N,,Ryan,normal,-,-
2,6,Activity M,,Steve,normal,-,-
2,7,Activity R,,Lannie,normal,-,-
2,8,Activity W,,Junior,normal,-,-
2,9,Activity Z,,Lucy,normal,-,-
2,10,Activity X,,Ryan,normal,-,-
2,11,Activity S,,Steve,normal,-,-
2,12,Activity B,,Rossana,normal,-,-
2,13,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity BC,,Doretta,normal,-,-
3,3,Activity BD,,Micheline,normal,-,-
3,4,Activity L,,Howard,normal,-,-
3,5,Activity N,,Issac,normal,-,-
3,6,Activity M,,Evelin,normal,-,-
3,7,Activity R,,Lannie,normal,-,-
3,8,Activity W,,Sigrid,normal,-,-
3,9,Activity Y,,Jin,normal,-,-
3,10,Activity X,,Ryan,normal,-,-
3,11,Activity S,,Lourdes,normal,-,-
3,12,Activity B,,Brant,normal,-,-
3,13,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Sherlene,normal,-,-
4,2,Activity BC,,Doretta,normal,-,-
4,3,Activity BD,,Hugo,normal,-,-
4,4,Activity C,,Keven,normal,-,-
4,5,Activity D,,Issac,normal,-,-
4,6,Activity E,,Iluminada,normal,-,-
4,7,Activity G,,Hassie,normal,-,-
4,8,Activity F,,Issac,normal,-,-
