case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Sherlene,normal,-,-
1,2,Activity AG,,Rossie,normal,-,-
1,3,Activity O,,Maryellen,normal,-,-
1,4,Activity Q,,Jin,normal,-,-
1,5,Activity R,,Jack,normal,-,-
1,6,Activity P,,Steve,normal,-,-
1,7,Activity B,,Vickie,normal,-,-
1,8,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Sherlene,normal,-,-
2,2,Activity AG,,Rossie,normal,-,-
2,3,Activity O,,Alyce,normal,-,-
2,4,Activity S,,Alpha,normal,-,-
2,5,Activity T,,Earl,normal,-,-
2,6,Activity P,,Grayce,normal,-,-
2,7,Activity B,,Vickie,normal,-,-
2,8,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sherlene,normal,-,-
3,2,Activity AG,,Sonia,normal,-,-
3,3,Activity O,,Jack,normal,-,-
3,4,Activity S,,Issac,normal,-,-
3,5,Activity T,,Earl,normal,-,-
3,6,Activity P,,Steve,normal,-,-
3,7,Activity B,,Vickie,normal,-,-
3,8,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Sherlene,normal,-,-
4,2,Activity AG,,Brant,normal,-,-
4,3,Activity Z,,Keven,normal,-,-
4,4,Activity AA,,Ling,normal,-,-
4,5,Activity AC,,Rossana,normal,-,-
4,6,Activity AB,,Sandra,normal,-,-
4,7,Activity B,,Keven,normal,-,-
4,8,■,,■,normal,-,-
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Sherlene,normal,-,-
5,2,Activity AG,,Rossie,normal,-,-
5,3,Activity O,,Ronald,normal,-,-
5,4,Activity Q,,Frances,normal,-,-
5,5,Activity R,,Jack,normal,-,-
5,6,Activity P,,Grayce,normal,-,-
5,7,Activity B,,Vickie,normal,-,-
5,8,■,,■,normal,-,-
6,0,▶,,▶,normal,-,-
6,1,Activity A,,Sherlene,normal,-,-
6,2,Activity AG,,Ling,normal,-,-
6,3,Activity O,,Maryellen,normal,-,-
6,4,Activity Q,,Frances,normal,-,-
6,5,Activity R,,Jack,normal,-,-
