case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:30:262,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:41:44:574,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:40:11:710,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:35:05:587,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:08:54:558,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:06:40:717,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:36:55:156,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:40:262,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 14:51:06:944,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:44:09:307,Deloras,normal,normal,"-"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Random activity 50,2020-06-27 14:00:50:262,Random user 46,normal,anomalous,"-"
3,2,Activity A,2020-06-27 14:44:35:653,Sharee,normal,anomalous,"-"
3,3,Activity BZ,2020-06-27 15:42:16:732,Frances,normal,anomalous,"-"
3,4,Activity B,2020-06-27 16:15:34:117,Steve,normal,anomalous,"-"
3,5,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:00:262,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:40:52:258,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:39:17:032,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:10:262,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:30:56:329,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:25:11:618,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:20:262,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:16:45:656,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:03:53:875,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:30:262,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:00:34:424,Micheline,normal,normal,"-"
