case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:22:106,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:03:34:250,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:53:21:220,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:49:25:151,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:31:13:923,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:30:21:666,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:14:57:390,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:32:106,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:31:23:750,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:25:00:581,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:42:106,Sharee,normal,anomalous,"{'size': 3, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sharee'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
3,2,Activity BZ,2020-06-27 15:27:26:211,Frances,normal,anomalous,"{'size': 3, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sharee'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
3,3,Activity B,2020-06-27 16:16:25:688,Steve,normal,anomalous,"{'size': 3, 'start': 3, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sharee'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
