case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:30:687,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:47:52:347,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:39:05:264,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:20:16:696,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:56:18:838,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:44:52:688,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:42:25:860,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:40:687,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 14:55:53:618,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:54:31:800,Deloras,normal,normal,"-"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity B,2020-06-27 14:00:50:687,Steve,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sharee'}}, {'name': 'Activity BZ', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Frances'}}]}"
3,2,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:00:687,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:57:51:542,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:55:48:405,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:10:687,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:18:34:453,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:05:59:656,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:20:687,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:18:34:758,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:12:44:897,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:30:687,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:18:24:878,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:03:55:152,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:40:687,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 14:39:47:780,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:35:32:791,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:19:11:246,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:12:12:391,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:04:40:094,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 18:36:33:876,Tiffiny,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:50:687,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 14:17:57:861,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:14:21:261,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 15:46:20:764,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 16:06:06:122,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 16:52:46:749,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 17:49:38:092,Ronald,normal,normal,"-"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:00:687,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 14:40:17:604,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 15:30:07:991,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 16:16:06:664,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:11:53:792,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:10:47:182,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 19:00:13:804,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:16:57:995,Ronald,normal,normal,"-"
10,9,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:02:10:687,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 14:19:47:110,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 15:10:57:795,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 15:52:02:467,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 16:45:05:240,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 17:44:55:688,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 18:40:14:783,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:07:29:967,Ronald,normal,normal,"-"
11,9,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:02:20:687,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 14:57:06:535,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 15:56:06:764,Tiffiny,normal,normal,"-"
12,4,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:02:30:687,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 14:58:34:612,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 15:56:20:041,Steve,normal,normal,"-"
13,4,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:02:40:687,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 14:19:27:060,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 15:04:34:923,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 15:46:44:763,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 16:44:13:156,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 17:34:06:785,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 18:23:28:886,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 19:01:46:811,Deloras,normal,normal,"-"
14,9,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:02:50:687,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 14:32:55:285,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 15:19:28:343,Grayce,normal,normal,"-"
15,4,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:03:00:687,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 14:51:26:441,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 15:37:18:382,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 16:14:11:841,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 17:01:16:881,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 18:00:54:859,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 18:42:49:434,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 19:25:14:928,Ronald,normal,normal,"-"
16,9,■,-,-,-,-,"-"
17,0,▶,-,-,-,-,"-"
17,1,Activity A,2020-06-27 14:03:10:687,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 14:18:15:224,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 15:16:49:904,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 16:11:29:866,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 17:00:40:049,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 17:57:35:044,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 18:36:29:196,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 19:01:38:671,Tiffiny,normal,normal,"-"
17,9,■,-,-,-,-,"-"
18,0,▶,-,-,-,-,"-"
18,1,Activity A,2020-06-27 14:03:20:687,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 14:26:37:840,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 15:23:04:045,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 15:59:13:191,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 16:31:10:703,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 17:27:15:834,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 17:57:57:247,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 18:34:37:187,Deloras,normal,normal,"-"
18,9,■,-,-,-,-,"-"
19,0,▶,-,-,-,-,"-"
19,1,Activity A,2020-06-27 14:03:30:687,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 14:48:41:757,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 15:45:42:163,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 16:17:25:464,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 16:59:38:842,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 17:54:40:970,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 18:44:24:818,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 19:01:54:764,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-27 19:53:28:190,Joe,normal,normal,"-"
19,10,■,-,-,-,-,"-"
20,0,▶,-,-,-,-,"-"
20,1,Activity A,2020-06-27 14:03:40:687,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 14:50:34:016,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 15:48:06:604,Tiffiny,normal,normal,"-"
20,4,■,-,-,-,-,"-"
21,0,▶,-,-,-,-,"-"
21,1,Activity A,2020-06-27 14:03:50:687,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AP', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}]}"
21,2,Activity T,2020-06-27 14:41:44:141,Jack,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AP', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}]}"
21,3,Activity AN,2020-06-27 15:31:37:091,Brian,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AP', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}]}"
21,4,Activity U,2020-06-27 16:29:25:984,Hoyt,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AP', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}]}"
21,5,Activity B,2020-06-27 17:25:20:585,Rossie,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AP', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Tiffiny'}}, {'name': 'Activity AO', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Iluminada'}}]}"
21,6,■,-,-,-,-,"-"
22,0,▶,-,-,-,-,"-"
22,1,Activity A,2020-06-27 14:04:00:687,Joe,normal,normal,"-"
22,2,Activity BC,2020-06-27 14:43:30:803,Micheline,normal,normal,"-"
22,3,Activity B,2020-06-27 15:35:52:037,Tiffiny,normal,normal,"-"
22,4,■,-,-,-,-,"-"
23,0,▶,-,-,-,-,"-"
23,1,Activity A,2020-06-27 14:04:10:687,Micheline,normal,normal,"-"
23,2,Activity T,2020-06-27 14:46:21:673,Grayce,normal,normal,"-"
23,3,Activity AC,2020-06-27 15:32:32:885,Ling,normal,normal,"-"
23,4,Activity AE,2020-06-27 16:08:08:916,Amanda,normal,normal,"-"
23,5,Activity AD,2020-06-27 16:35:26:344,Howard,normal,normal,"-"
23,6,Activity U,2020-06-27 17:26:15:949,Rossie,normal,normal,"-"
23,7,Activity B,2020-06-27 18:20:48:884,Joe,normal,normal,"-"
23,8,■,-,-,-,-,"-"
24,0,▶,-,-,-,-,"-"
24,1,Activity A,2020-06-27 14:04:20:687,Micheline,normal,normal,"-"
24,2,Activity T,2020-06-27 14:45:46:175,Jack,normal,normal,"-"
24,3,Activity AN,2020-06-27 15:37:29:130,Micheline,normal,normal,"-"
24,4,Activity AP,2020-06-27 16:20:20:060,Tiffiny,normal,normal,"-"
24,5,Activity AO,2020-06-27 16:37:30:671,Iluminada,normal,normal,"-"
24,6,Activity U,2020-06-27 17:25:09:600,Lisa,normal,normal,"-"
24,7,Activity B,2020-06-27 18:13:08:940,Lucy,normal,normal,"-"
24,8,■,-,-,-,-,"-"
25,0,▶,-,-,-,-,"-"
25,1,Activity A,2020-06-27 14:04:30:687,Carmella,normal,normal,"-"
25,2,Activity BC,2020-06-27 14:40:40:776,Micheline,normal,normal,"-"
25,3,Activity B,2020-06-27 15:27:43:095,Tiffiny,normal,normal,"-"
25,4,■,-,-,-,-,"-"
26,0,▶,-,-,-,-,"-"
26,1,Activity A,2020-06-27 14:04:40:687,Joe,normal,normal,"-"
26,2,Activity BC,2020-06-27 14:55:01:355,Micheline,normal,normal,"-"
26,3,Activity B,2020-06-27 15:42:38:641,Tiffiny,normal,normal,"-"
26,4,■,-,-,-,-,"-"
27,0,▶,-,-,-,-,"-"
27,1,Activity A,2020-06-27 14:04:50:687,Amanda,normal,normal,"-"
27,2,Activity C,2020-06-27 14:39:51:687,Della,normal,normal,"-"
27,3,Activity G,2020-06-27 15:28:05:845,Alyce,normal,normal,"-"
27,4,Activity I,2020-06-27 16:15:15:078,Lannie,normal,normal,"-"
27,5,Activity H,2020-06-27 16:51:12:832,James,normal,normal,"-"
27,6,Activity D,2020-06-27 17:46:29:256,Hassie,normal,normal,"-"
27,7,Activity S,2020-06-27 18:24:54:653,Velda,normal,normal,"-"
27,8,Activity B,2020-06-27 18:56:21:132,Grayce,normal,normal,"-"
27,9,■,-,-,-,-,"-"
28,0,▶,-,-,-,-,"-"
28,1,Activity A,2020-06-27 14:05:00:687,Joe,normal,normal,"-"
28,2,Activity BC,2020-06-27 14:20:51:293,Micheline,normal,normal,"-"
28,3,Activity B,2020-06-27 15:10:58:791,Tiffiny,normal,normal,"-"
28,4,■,-,-,-,-,"-"
29,0,▶,-,-,-,-,"-"
29,1,Activity A,2020-06-27 14:05:10:687,Chan,normal,normal,"-"
29,2,Activity BD,2020-06-27 14:50:08:847,Lisa,normal,normal,"-"
29,3,Activity BP,2020-06-27 15:38:30:300,Carmella,normal,normal,"-"
29,4,Activity BE,2020-06-27 16:11:56:302,Lisa,normal,normal,"-"
29,5,Activity BQ,2020-06-27 16:45:37:954,Jamika,normal,normal,"-"
29,6,Activity BR,2020-06-27 17:41:02:533,Elisha,normal,normal,"-"
29,7,Activity BX,2020-06-27 18:20:00:297,Marilyn,normal,normal,"-"
29,8,Activity BS,2020-06-27 18:40:48:126,Josef,normal,normal,"-"
29,9,Activity B,2020-06-27 19:35:44:958,Amanda,normal,normal,"-"
29,10,■,-,-,-,-,"-"
30,0,▶,-,-,-,-,"-"
30,1,Activity A,2020-06-27 14:05:20:687,Carmella,normal,normal,"-"
30,2,Activity BC,2020-06-27 14:40:37:125,Micheline,normal,normal,"-"
30,3,Activity B,2020-06-27 15:32:03:649,Tiffiny,normal,normal,"-"
30,4,■,-,-,-,-,"-"
31,0,▶,-,-,-,-,"-"
31,1,Activity A,2020-06-27 14:05:30:687,Joe,normal,normal,"-"
31,2,Activity BC,2020-06-27 14:43:04:954,Micheline,normal,normal,"-"
31,3,Activity B,2020-06-27 15:34:30:551,Tiffiny,normal,normal,"-"
31,4,■,-,-,-,-,"-"
32,0,▶,-,-,-,-,"-"
32,1,Activity A,2020-06-27 14:05:40:687,Micheline,normal,normal,"-"
32,2,Activity T,2020-06-27 15:03:31:638,Joe,normal,normal,"-"
32,3,Activity V,2020-06-27 15:49:42:402,Lucy,normal,normal,"-"
32,4,Activity X,2020-06-27 16:22:10:277,Carmella,normal,normal,"-"
32,5,Activity W,2020-06-27 17:02:38:930,Ling,normal,normal,"-"
32,6,Activity AB,2020-06-27 17:52:30:144,Issac,normal,normal,"-"
32,7,Activity U,2020-06-27 18:23:23:174,Brian,normal,normal,"-"
32,8,Activity B,2020-06-27 19:04:25:944,Deloras,normal,normal,"-"
32,9,■,-,-,-,-,"-"
33,0,▶,-,-,-,-,"-"
33,1,Activity A,2020-06-27 14:05:50:687,Seth,normal,normal,"-"
33,2,Activity BC,2020-06-27 15:00:13:544,Micheline,normal,normal,"-"
33,3,Activity B,2020-06-27 15:56:13:127,Tiffiny,normal,normal,"-"
33,4,■,-,-,-,-,"-"
34,0,▶,-,-,-,-,"-"
34,1,Activity A,2020-06-27 14:06:00:687,Carmella,normal,normal,"-"
34,2,Activity BC,2020-06-27 14:42:12:661,Micheline,normal,normal,"-"
34,3,Activity B,2020-06-27 15:31:40:694,Tiffiny,normal,normal,"-"
34,4,■,-,-,-,-,"-"
35,0,▶,-,-,-,-,"-"
35,1,Activity A,2020-06-27 14:06:10:687,Jin,normal,normal,"-"
35,2,Activity T,2020-06-27 14:42:12:728,Grayce,normal,normal,"-"
35,3,Activity AC,2020-06-27 15:33:09:123,Lucy,normal,normal,"-"
35,4,Activity AE,2020-06-27 16:11:51:541,Amanda,normal,normal,"-"
35,5,Activity AD,2020-06-27 17:09:13:919,Joe,normal,normal,"-"
35,6,Activity U,2020-06-27 17:59:09:844,Sonia,normal,normal,"-"
35,7,Activity B,2020-06-27 18:44:08:179,Ronald,normal,normal,"-"
35,8,■,-,-,-,-,"-"
36,0,▶,-,-,-,-,"-"
36,1,Activity A,2020-06-27 14:06:20:687,Sharee,normal,normal,"-"
36,2,Activity BZ,2020-06-27 14:29:26:337,Frances,normal,normal,"-"
36,3,Activity B,2020-06-27 15:22:52:456,Elisha,normal,normal,"-"
36,4,■,-,-,-,-,"-"
37,0,▶,-,-,-,-,"-"
37,1,Activity A,2020-06-27 14:06:30:687,Carmella,normal,normal,"-"
37,2,Activity BC,2020-06-27 15:01:10:030,Micheline,normal,normal,"-"
37,3,Activity B,2020-06-27 15:54:25:371,Grayce,normal,normal,"-"
37,4,■,-,-,-,-,"-"
38,0,▶,-,-,-,-,"-"
38,1,Activity A,2020-06-27 14:06:40:687,Joe,normal,normal,"-"
38,2,Activity BC,2020-06-27 14:37:58:973,Micheline,normal,normal,"-"
38,3,Activity B,2020-06-27 15:34:44:586,Grayce,normal,normal,"-"
38,4,■,-,-,-,-,"-"
39,0,▶,-,-,-,-,"-"
39,1,Activity A,2020-06-27 14:06:50:687,Micheline,normal,normal,"-"
39,2,Activity T,2020-06-27 14:24:05:246,Steve,normal,normal,"-"
39,3,Activity AC,2020-06-27 15:22:20:260,Ling,normal,normal,"-"
39,4,Activity AE,2020-06-27 16:15:05:238,Amanda,normal,normal,"-"
39,5,Activity AD,2020-06-27 16:41:58:595,Joe,normal,normal,"-"
39,6,Activity U,2020-06-27 17:41:03:831,Junior,normal,normal,"-"
39,7,Activity B,2020-06-27 18:35:57:677,Rossie,normal,normal,"-"
39,8,■,-,-,-,-,"-"
40,0,▶,-,-,-,-,"-"
40,1,Activity A,2020-06-27 14:07:00:687,Micheline,normal,normal,"-"
40,2,Activity BD,2020-06-27 14:49:25:263,Brian,normal,normal,"-"
40,3,Activity BH,2020-06-27 15:43:05:978,Jack,normal,normal,"-"
40,4,Activity BI,2020-06-27 16:27:12:384,Evelin,normal,normal,"-"
40,5,Activity BE,2020-06-27 16:50:20:836,Gema,normal,normal,"-"
40,6,Activity BQ,2020-06-27 17:37:36:321,Frances,normal,normal,"-"
40,7,Activity BR,2020-06-27 18:24:36:890,Della,normal,normal,"-"
40,8,Activity BX,2020-06-27 19:12:52:516,Brant,normal,normal,"-"
40,9,Activity BS,2020-06-27 20:10:01:651,James,normal,normal,"-"
40,10,Activity B,2020-06-27 21:00:27:589,James,normal,normal,"-"
40,11,■,-,-,-,-,"-"
41,0,▶,-,-,-,-,"-"
41,1,Activity A,2020-06-27 14:07:10:687,Sharee,normal,normal,"-"
41,2,Activity BZ,2020-06-27 14:58:56:878,Issac,normal,normal,"-"
41,3,Activity B,2020-06-27 15:54:37:409,Elisha,normal,normal,"-"
41,4,■,-,-,-,-,"-"
42,0,▶,-,-,-,-,"-"
42,1,Activity A,2020-06-27 14:07:20:687,Sharee,normal,normal,"-"
42,2,Activity BZ,2020-06-27 14:48:34:344,Issac,normal,normal,"-"
42,3,Activity B,2020-06-27 15:38:55:227,Steve,normal,normal,"-"
42,4,■,-,-,-,-,"-"
43,0,▶,-,-,-,-,"-"
43,1,Activity A,2020-06-27 14:07:30:687,Chan,normal,normal,"-"
43,2,Activity BD,2020-06-27 14:41:12:106,Evelin,normal,normal,"-"
43,3,Activity BF,2020-06-27 15:33:47:717,Evelin,normal,normal,"-"
43,4,Activity BG,2020-06-27 16:18:15:265,Jamika,normal,normal,"-"
43,5,Activity BE,2020-06-27 16:42:50:982,Craig,normal,normal,"-"
43,6,Activity BQ,2020-06-27 17:32:36:152,Frances,normal,normal,"-"
43,7,Activity BR,2020-06-27 18:21:59:219,Paul,normal,normal,"-"
43,8,Activity BX,2020-06-27 18:56:55:891,Micheline,normal,normal,"-"
43,9,Activity BS,2020-06-27 19:49:06:411,Hassie,normal,normal,"-"
43,10,Activity B,2020-06-27 20:32:20:835,Sherlene,normal,normal,"-"
43,11,■,-,-,-,-,"-"
44,0,▶,-,-,-,-,"-"
44,1,Activity A,2020-06-27 14:07:40:687,Amanda,normal,normal,"-"
44,2,Activity C,2020-06-27 14:49:11:495,Vickie,normal,normal,"-"
44,3,Activity L,2020-06-27 15:42:45:721,Pam,normal,normal,"-"
44,4,Activity N,2020-06-27 16:39:33:483,Vickie,normal,normal,"-"
44,5,Activity M,2020-06-27 17:16:32:296,Maryellen,normal,normal,"-"
44,6,Activity D,2020-06-27 18:09:48:455,Shandi,normal,normal,"-"
44,7,Activity S,2020-06-27 19:09:04:478,Brian,normal,normal,"-"
44,8,Activity B,2020-06-27 20:07:04:576,Ronald,normal,normal,"-"
44,9,■,-,-,-,-,"-"
45,0,▶,-,-,-,-,"-"
45,1,Activity A,2020-06-27 14:07:50:687,Micheline,normal,normal,"-"
45,2,Activity T,2020-06-27 14:55:21:883,Grayce,normal,normal,"-"
