case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity BC,2020-06-27 17:03:05:476,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,2,Activity A,2020-06-27 17:51:56:615,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,3,Activity B,2020-06-27 18:49:19:842,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,4,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:15:476,normal,normal,-,"-"
2,2,Activity T,2020-06-27 17:55:30:485,normal,normal,-,"-"
2,3,Activity AK,2020-06-27 18:49:40:426,normal,normal,-,"-"
2,4,Activity AL,2020-06-27 19:29:18:872,normal,normal,-,"-"
2,5,Activity AM,2020-06-27 19:59:44:337,normal,normal,-,"-"
2,6,Activity U,2020-06-27 20:57:31:955,normal,normal,-,"-"
2,7,Activity B,2020-06-27 21:50:12:607,normal,normal,-,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:25:476,normal,normal,-,"-"
3,2,Activity BZ,2020-06-27 17:57:21:123,normal,normal,-,"-"
3,3,Activity B,2020-06-27 18:46:58:148,normal,normal,-,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:35:476,normal,normal,-,"-"
4,2,Activity C,2020-06-27 17:22:28:206,normal,normal,-,"-"
4,3,Activity L,2020-06-27 18:20:12:953,normal,normal,-,"-"
4,4,Activity O,2020-06-27 19:11:09:106,normal,normal,-,"-"
4,5,Activity M,2020-06-27 19:58:37:923,normal,normal,-,"-"
4,6,Activity D,2020-06-27 20:49:36:326,normal,normal,-,"-"
4,7,Activity S,2020-06-27 21:33:39:020,normal,normal,-,"-"
4,8,Activity B,2020-06-27 22:00:19:223,normal,normal,-,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:45:476,normal,normal,-,"-"
5,2,Activity BD,2020-06-27 17:25:59:652,normal,normal,-,"-"
5,3,Activity BO,2020-06-27 18:20:08:341,normal,normal,-,"-"
5,4,Activity BE,2020-06-27 18:57:08:059,normal,normal,-,"-"
5,5,Activity BQ,2020-06-27 19:56:23:664,normal,normal,-,"-"
5,6,Activity BR,2020-06-27 20:45:10:506,normal,normal,-,"-"
5,7,Activity BT,2020-06-27 21:29:04:573,normal,normal,-,"-"
5,8,Activity BS,2020-06-27 22:16:07:694,normal,normal,-,"-"
5,9,Activity B,2020-06-27 23:05:58:129,normal,normal,-,"-"
5,10,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:55:476,normal,normal,-,"-"
6,2,Activity T,2020-06-27 17:23:29:178,normal,normal,-,"-"
6,3,Activity AK,2020-06-27 18:13:18:704,normal,normal,-,"-"
6,4,Activity AL,2020-06-27 19:01:32:926,normal,normal,-,"-"
6,5,Activity AM,2020-06-27 19:35:09:345,normal,normal,-,"-"
6,6,Activity U,2020-06-27 20:30:58:393,normal,normal,-,"-"
6,7,Activity B,2020-06-27 21:15:13:625,normal,normal,-,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:05:476,normal,normal,-,"-"
7,2,Activity BC,2020-06-27 17:42:13:733,normal,normal,-,"-"
7,3,Activity B,2020-06-27 18:36:25:726,normal,normal,-,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:15:476,normal,normal,-,"-"
8,2,Activity C,2020-06-27 17:19:40:551,normal,normal,-,"-"
8,3,Activity G,2020-06-27 18:06:46:382,normal,normal,-,"-"
8,4,Activity I,2020-06-27 18:58:24:622,normal,normal,-,"-"
8,5,Activity H,2020-06-27 19:31:52:131,normal,normal,-,"-"
8,6,Activity D,2020-06-27 20:22:00:037,normal,normal,-,"-"
8,7,Activity S,2020-06-27 21:15:08:927,normal,normal,-,"-"
8,8,Activity B,2020-06-27 22:13:11:816,normal,normal,-,"-"
8,9,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:25:476,normal,normal,-,"-"
9,2,Activity BD,2020-06-27 17:27:26:698,normal,normal,-,"-"
9,3,Activity BO,2020-06-27 18:18:56:437,normal,normal,-,"-"
9,4,Activity BE,2020-06-27 19:06:06:926,normal,normal,-,"-"
9,5,Activity BQ,2020-06-27 19:54:07:620,normal,normal,-,"-"
9,6,Activity BR,2020-06-27 20:53:09:360,normal,normal,-,"-"
9,7,Activity BT,2020-06-27 21:52:17:233,normal,normal,-,"-"
9,8,Activity BS,2020-06-27 22:29:28:612,normal,normal,-,"-"
9,9,Activity B,2020-06-27 23:18:19:343,normal,normal,-,"-"
9,10,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:35:476,normal,normal,-,"-"
10,2,Activity C,2020-06-27 17:51:15:599,normal,normal,-,"-"
10,3,Activity E,2020-06-27 18:38:43:534,normal,normal,-,"-"
10,4,Activity F,2020-06-27 19:25:18:777,normal,normal,-,"-"
10,5,Activity D,2020-06-27 19:57:42:846,normal,normal,-,"-"
10,6,Activity S,2020-06-27 20:48:21:675,normal,normal,-,"-"
10,7,Activity B,2020-06-27 21:32:12:446,normal,normal,-,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:45:476,normal,normal,-,"-"
11,2,Activity T,2020-06-27 17:38:04:755,normal,normal,-,"-"
11,3,Activity AN,2020-06-27 18:33:56:019,normal,normal,-,"-"
11,4,Activity AP,2020-06-27 19:19:23:295,normal,normal,-,"-"
11,5,Activity AO,2020-06-27 19:49:24:830,normal,normal,-,"-"
11,6,Activity U,2020-06-27 20:48:36:649,normal,normal,-,"-"
11,7,Activity B,2020-06-27 21:39:55:689,normal,normal,-,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:04:55:476,normal,normal,-,"-"
12,2,Activity T,2020-06-27 18:04:50:177,normal,normal,-,"-"
12,3,Activity AN,2020-06-27 18:59:55:412,normal,normal,-,"-"
12,4,Activity AP,2020-06-27 19:46:52:218,normal,normal,-,"-"
