case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity BC,2020-06-27 14:32:14:703,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,2,Activity A,2020-06-27 15:01:22:520,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,3,Activity B,2020-06-27 15:48:56:356,anomalous,normal,Late,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
1,4,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:24:703,normal,normal,-,"-"
2,2,Activity T,2020-06-27 14:54:18:897,normal,normal,-,"-"
2,3,Activity AK,2020-06-27 15:52:20:224,normal,normal,-,"-"
2,4,Activity AL,2020-06-27 16:50:37:462,normal,normal,-,"-"
2,5,Activity AM,2020-06-27 17:41:28:769,normal,normal,-,"-"
2,6,Activity U,2020-06-27 18:40:57:693,normal,normal,-,"-"
2,7,Activity B,2020-06-27 19:11:54:323,normal,normal,-,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:34:703,normal,normal,-,"-"
3,2,Activity BZ,2020-06-27 15:11:11:892,normal,normal,-,"-"
3,3,Activity B,2020-06-27 16:09:47:879,normal,normal,-,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:44:703,normal,normal,-,"-"
4,2,Activity C,2020-06-27 15:18:56:515,normal,normal,-,"-"
4,3,Activity L,2020-06-27 16:06:53:195,normal,normal,-,"-"
4,4,Activity O,2020-06-27 16:56:46:243,normal,normal,-,"-"
4,5,Activity M,2020-06-27 17:28:23:916,normal,normal,-,"-"
4,6,Activity D,2020-06-27 18:17:31:620,normal,normal,-,"-"
4,7,Activity S,2020-06-27 18:58:41:199,normal,normal,-,"-"
4,8,Activity B,2020-06-27 19:40:53:945,normal,normal,-,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:54:703,normal,normal,-,"-"
5,2,Activity BD,2020-06-27 15:21:49:590,normal,normal,-,"-"
5,3,Activity BO,2020-06-27 16:10:04:536,normal,normal,-,"-"
5,4,Activity BE,2020-06-27 17:05:11:950,normal,normal,-,"-"
5,5,Activity BQ,2020-06-27 17:23:13:521,normal,normal,-,"-"
5,6,Activity BR,2020-06-27 18:15:21:806,normal,normal,-,"-"
5,7,Activity BT,2020-06-27 18:47:03:253,normal,normal,-,"-"
5,8,Activity BS,2020-06-27 19:10:20:887,normal,normal,-,"-"
5,9,Activity B,2020-06-27 19:58:07:456,normal,normal,-,"-"
5,10,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:04:703,normal,normal,-,"-"
6,2,Activity T,2020-06-27 15:02:08:982,normal,normal,-,"-"
6,3,Activity AK,2020-06-27 15:47:28:671,normal,normal,-,"-"
6,4,Activity AL,2020-06-27 16:45:59:662,normal,normal,-,"-"
6,5,Activity AM,2020-06-27 17:33:14:401,normal,normal,-,"-"
6,6,Activity U,2020-06-27 18:28:22:356,normal,normal,-,"-"
6,7,Activity B,2020-06-27 19:25:38:491,normal,normal,-,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:14:703,normal,normal,-,"-"
7,2,Activity BC,2020-06-27 15:04:52:407,normal,normal,-,"-"
7,3,Activity B,2020-06-27 15:56:21:495,normal,normal,-,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:24:703,normal,normal,-,"-"
8,2,Activity C,2020-06-27 15:33:08:921,normal,normal,-,"-"
8,3,Activity G,2020-06-27 16:26:05:108,normal,normal,-,"-"
8,4,Activity I,2020-06-27 17:01:04:269,normal,normal,-,"-"
8,5,Activity H,2020-06-27 17:43:29:973,normal,normal,-,"-"
8,6,Activity D,2020-06-27 18:37:43:556,normal,normal,-,"-"
8,7,Activity S,2020-06-27 19:21:40:331,normal,normal,-,"-"
8,8,Activity B,2020-06-27 20:04:06:452,normal,normal,-,"-"
8,9,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:34:703,normal,normal,-,"-"
9,2,Activity BD,2020-06-27 15:33:31:105,normal,normal,-,"-"
9,3,Activity BO,2020-06-27 16:28:19:924,normal,normal,-,"-"
9,4,Activity BE,2020-06-27 17:01:53:412,normal,normal,-,"-"
9,5,Activity BQ,2020-06-27 17:19:58:322,normal,normal,-,"-"
9,6,Activity BR,2020-06-27 18:16:56:667,normal,normal,-,"-"
9,7,Activity BT,2020-06-27 18:57:32:884,normal,normal,-,"-"
9,8,Activity BS,2020-06-27 19:30:36:688,normal,normal,-,"-"
9,9,Activity B,2020-06-27 20:26:52:211,normal,normal,-,"-"
9,10,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:44:703,normal,normal,-,"-"
10,2,Activity C,2020-06-27 15:05:07:700,normal,normal,-,"-"
10,3,Activity E,2020-06-27 15:54:49:632,normal,normal,-,"-"
10,4,Activity F,2020-06-27 16:31:24:881,normal,normal,-,"-"
10,5,Activity D,2020-06-27 16:49:27:512,normal,normal,-,"-"
10,6,Activity S,2020-06-27 17:36:30:998,normal,normal,-,"-"
10,7,Activity B,2020-06-27 18:15:42:979,normal,normal,-,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:33:54:703,normal,normal,-,"-"
11,2,Activity T,2020-06-27 15:06:09:856,normal,normal,-,"-"
11,3,Activity AN,2020-06-27 16:03:36:770,normal,normal,-,"-"
11,4,Activity AP,2020-06-27 16:59:05:756,normal,normal,-,"-"
11,5,Activity AO,2020-06-27 17:41:14:067,normal,normal,-,"-"
11,6,Activity U,2020-06-27 18:29:23:822,normal,normal,-,"-"
11,7,Activity B,2020-06-27 19:13:34:900,normal,normal,-,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:04:703,normal,normal,-,"-"
12,2,Activity T,2020-06-27 14:52:20:034,normal,normal,-,"-"
12,3,Activity AN,2020-06-27 15:40:28:975,normal,normal,-,"-"
12,4,Activity AP,2020-06-27 16:11:56:852,normal,normal,-,"-"
12,5,Activity AO,2020-06-27 17:10:23:850,normal,normal,-,"-"
12,6,Activity U,2020-06-27 18:05:33:729,normal,normal,-,"-"
12,7,Activity B,2020-06-27 19:04:40:575,normal,normal,-,"-"
12,8,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:14:703,normal,normal,-,"-"
13,2,Activity T,2020-06-27 14:56:08:523,normal,normal,-,"-"
13,3,Activity AC,2020-06-27 15:46:17:535,normal,normal,-,"-"
13,4,Activity AI,2020-06-27 16:16:42:828,normal,normal,-,"-"
13,5,Activity AJ,2020-06-27 16:38:47:514,normal,normal,-,"-"
13,6,Activity AD,2020-06-27 17:25:37:890,normal,normal,-,"-"
13,7,Activity U,2020-06-27 18:25:22:651,normal,normal,-,"-"
13,8,Activity B,2020-06-27 19:02:24:995,normal,normal,-,"-"
13,9,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:24:703,normal,normal,-,"-"
14,2,Activity T,2020-06-27 15:31:56:460,normal,normal,-,"-"
14,3,Activity AN,2020-06-27 16:19:55:965,normal,normal,-,"-"
14,4,Activity AP,2020-06-27 17:07:00:924,normal,normal,-,"-"
14,5,Activity AO,2020-06-27 17:31:36:348,normal,normal,-,"-"
14,6,Activity U,2020-06-27 18:23:49:544,normal,normal,-,"-"
14,7,Activity B,2020-06-27 18:57:33:972,normal,normal,-,"-"
14,8,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:34:703,anomalous,normal,Insert,"-"
15,2,Activity T,2020-06-27 15:14:20:410,anomalous,normal,Insert,"-"
15,3,Activity AN,2020-06-27 16:13:20:292,anomalous,normal,Insert,"-"
15,4,Activity AS,2020-06-27 16:58:40:743,anomalous,normal,Insert,"-"
15,5,Activity AZ,2020-06-27 17:42:38:133,anomalous,normal,Insert,"-"
15,6,Activity AT,2020-06-27 18:30:40:590,anomalous,normal,Insert,"-"
15,7,Random activity 58,2020-06-27 19:10:16:450,anomalous,normal,Insert,"-"
15,8,Activity AO,2020-06-27 20:03:15:373,anomalous,normal,Insert,"-"
15,9,Activity U,2020-06-27 20:54:58:292,anomalous,normal,Insert,"-"
15,10,Activity B,2020-06-27 21:46:58:148,anomalous,normal,Insert,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:34:44:703,normal,normal,-,"-"
16,2,Activity T,2020-06-27 15:24:04:326,normal,normal,-,"-"
16,3,Activity AN,2020-06-27 16:09:10:586,normal,normal,-,"-"
16,4,Activity AQ,2020-06-27 17:04:41:567,normal,normal,-,"-"
16,5,Activity AR,2020-06-27 17:55:40:095,normal,normal,-,"-"
16,6,Activity AO,2020-06-27 18:42:03:751,normal,normal,-,"-"
16,7,Activity U,2020-06-27 19:37:29:259,normal,normal,-,"-"
16,8,Activity B,2020-06-27 19:57:52:026,normal,normal,-,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:34:54:703,normal,normal,-,"-"
17,2,Activity T,2020-06-27 14:58:57:620,normal,normal,-,"-"
17,3,Activity AK,2020-06-27 15:47:15:278,normal,normal,-,"-"
17,4,Activity AL,2020-06-27 16:43:49:271,normal,normal,-,"-"
17,5,Activity AM,2020-06-27 17:29:04:505,normal,normal,-,"-"
17,6,Activity U,2020-06-27 18:17:50:362,normal,normal,-,"-"
17,7,Activity B,2020-06-27 18:59:29:056,normal,normal,-,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:35:04:703,normal,normal,-,"-"
18,2,Activity C,2020-06-27 15:20:48:540,normal,normal,-,"-"
18,3,Activity L,2020-06-27 16:16:29:742,normal,normal,-,"-"
18,4,Activity P,2020-06-27 16:53:01:484,normal,normal,-,"-"
18,5,Activity M,2020-06-27 17:16:56:212,normal,normal,-,"-"
18,6,Activity D,2020-06-27 18:13:59:285,normal,normal,-,"-"
18,7,Activity S,2020-06-27 19:01:44:954,normal,normal,-,"-"
18,8,Activity B,2020-06-27 19:55:45:488,normal,normal,-,"-"
