case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:10:159,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:48:48:692,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:40:07:386,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:14:33:839,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:00:34:145,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:46:47:039,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:17:43:845,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:09:35:278,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:20:159,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:00:55:487,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 15:48:30:089,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:47:25:605,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:22:46:468,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:19:20:308,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:06:43:143,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:53:48:810,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:53:28:762,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:31:56:089,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:30:159,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:54:01:257,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:49:50:453,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:27:19:843,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:25:34:222,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:18:15:853,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:07:50:605,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 20:04:01:154,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:40:159,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:54:39:281,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:51:51:254,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:24:13:842,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:17:12:373,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:08:07:656,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:45:34:238,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:03:05:200,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 19:53:23:249,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:50:159,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:51:53:162,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:43:43:861,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:15:03:402,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 16:38:30:729,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:26:27:296,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:07:33:410,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:03:02:530,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 19:48:44:315,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:22:23:344,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:00:159,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:24:05:451,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:22:31:498,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 17:02:59:502,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:37:51:071,Alpha,normal,normal,"-"
