case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:32:966,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:36:38:882,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:33:04:473,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:19:27:753,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:04:35:693,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:57:02:833,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:52:33:695,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:31:57:262,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:42:966,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 14:50:23:078,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 15:44:26:759,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:38:42:651,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:25:32:757,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:15:22:638,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 18:53:49:176,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:31:38:686,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:25:30:963,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:10:36:386,Micheline,normal,normal,"-"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:52:966,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:22:06:878,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:18:56:783,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 15:49:46:688,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 16:46:41:925,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:42:36:876,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:20:18:084,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:16:49:183,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:02:966,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:38:56:709,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:33:52:578,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:33:22:417,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:11:06:820,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:08:51:299,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:45:44:654,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:22:15:911,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:11:25:823,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:12:966,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:30:55:647,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:28:30:013,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:05:58:737,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 16:53:24:720,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:47:39:040,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:20:11:007,Junior,normal,normal,"-"
