case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:02:59:378,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:41:44:567,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:35:43:226,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:28:06:660,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 20:07:20:215,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 21:01:31:408,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:41:57:736,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 22:06:24:115,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:09:378,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:39:33:294,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:37:51:014,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:26:22:755,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:58:45:691,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:48:38:481,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 21:39:43:140,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 21:56:49:132,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 22:53:37:188,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 23:43:12:212,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:19:378,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:26:08:594,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:22:49:241,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 18:54:14:858,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:47:26:986,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:45:25:832,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:34:20:819,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:19:17:382,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:29:378,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:50:03:465,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:35:28:138,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:06:00:768,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 19:34:50:042,James,normal,normal,"-"
4,6,Activity F,2020-06-27 20:33:11:107,Sandra,normal,normal,"-"
