case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:38:105,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:40:03:697,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:39:31:710,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:31:12:272,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:17:47:372,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:09:06:983,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:08:17:735,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:33:33:784,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:48:105,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 14:39:59:588,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 15:37:00:414,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:18:14:524,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:05:04:215,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 17:56:20:925,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 18:47:20:993,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:34:36:308,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:26:39:307,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 20:59:34:666,Micheline,normal,normal,"-"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:58:105,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:30:58:437,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:28:10:352,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:25:24:349,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:07:16:366,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:58:01:580,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:47:47:316,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:44:24:692,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:08:105,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:32:39:153,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:27:07:391,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:08:52:259,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:54:36:242,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:51:15:009,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:24:31:474,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 18:40:09:905,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 19:32:39:218,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:18:105,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:21:43:016,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:12:49:662,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:09:05:538,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 16:36:43:226,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:31:08:521,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:15:30:874,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 18:44:11:204,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 19:32:57:401,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:22:39:159,Hoyt,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:28:105,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:19:32:304,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:13:58:759,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 15:48:54:052,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 16:36:54:943,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 17:26:24:665,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 17:57:01:760,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 18:33:44:982,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 19:24:36:176,Alyce,normal,normal,"-"
6,10,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:38:105,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 14:47:04:233,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:37:54:246,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:24:08:457,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:23:07:258,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 18:17:47:958,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 19:12:08:092,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 20:09:04:899,Alyce,normal,normal,"-"
7,9,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:48:105,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 14:17:04:427,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 15:04:01:815,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 15:59:04:936,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 16:19:22:460,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 17:05:16:933,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 17:57:45:522,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 18:32:49:869,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 19:30:38:443,Alyce,normal,normal,"-"
8,10,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:58:105,Micheline,normal,normal,"-"
