case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:18:992,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:09:39:377,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:58:54:483,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:36:18:497,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:09:36:380,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:58:25:961,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:35:32:190,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:02:32:553,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:50:16:600,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:43:56:579,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:21:35:824,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:28:992,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:56:42:303,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:55:16:773,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:38:52:172,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 17:19:01:533,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 18:11:31:114,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:51:01:768,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 19:41:00:597,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 20:30:38:936,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 21:23:57:191,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 21:52:18:096,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:38:992,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:23:51:388,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:18:33:314,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:56:22:574,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:13:02:473,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:10:26:472,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:47:13:734,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:04:11:149,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:03:38:946,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 20:43:55:176,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:24:35:957,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:15:44:682,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:48:992,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 15:32:37:439,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 16:24:25:690,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 17:05:14:989,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:38:55:292,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:32:34:741,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 19:30:40:223,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 20:19:07:442,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 21:13:08:749,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 22:03:43:081,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 22:25:19:449,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 23:01:55:947,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:58:992,Doretta,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,2,Activity AB,2020-06-27 14:51:04:784,Lannie,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,3,Activity AF,2020-06-27 15:49:25:004,Steve,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,4,Activity AC,2020-06-27 16:35:24:382,Brant,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,5,Activity AG,2020-06-27 16:51:23:567,Chan,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,6,Activity AJ,2020-06-27 17:37:36:032,Micheline,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,7,Activity AH,2020-06-27 18:32:27:304,Brian,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,8,Activity AL,2020-06-27 19:23:56:264,Earl,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,9,Activity AN,2020-06-27 20:13:45:445,Lucy,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,10,Activity AM,2020-06-27 20:49:41:876,Iluminada,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,11,Activity AP,2020-06-27 21:31:04:511,Jamika,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,12,Activity B,2020-06-27 21:52:34:111,Shandi,normal,anomalous,"{'index': [1, 8], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Junior', 'Alyce']}"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:08:992,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 14:48:26:223,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:43:27:534,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:42:07:862,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:24:35:378,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 18:10:39:316,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:59:04:272,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 19:41:00:407,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:38:32:777,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 21:11:53:738,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 21:43:39:764,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:18:992,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 15:10:33:994,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 15:56:04:502,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:39:01:566,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 17:12:44:177,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 18:11:56:963,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:46:27:784,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 19:25:01:434,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 20:10:15:127,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 20:50:30:809,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 21:26:49:886,Johnny,normal,normal,"-"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:28:992,Johnny,normal,normal,"-"
