case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:02:57:900,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:37:51:008,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:34:14:748,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:15:39:359,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:13:17:652,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:07:49:763,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:50:38:466,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:31:01:815,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:20:58:783,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:05:02:079,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 01:01:03:163,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:07:900,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 17:50:02:311,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 18:36:24:846,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 19:26:22:970,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 19:47:15:306,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 20:36:46:499,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:26:11:819,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 22:04:55:460,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 22:55:24:706,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 23:36:26:973,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-28 00:27:42:417,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:17:900,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:32:37:097,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:21:18:571,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 18:56:16:922,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:37:12:208,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:35:06:289,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:10:10:223,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:03:00:939,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 22:59:49:768,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:59:45:009,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:29:43:472,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 00:47:43:455,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:27:900,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:37:17:631,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:27:33:261,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:00:55:012,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 20:00:29:229,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 20:54:38:838,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:47:28:262,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 22:27:51:434,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 23:20:55:205,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-28 00:13:21:661,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:59:08:054,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 01:55:56:707,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:37:900,Doretta,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,2,Activity AB,2020-06-27 17:55:17:207,Junior,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,3,Activity AF,2020-06-27 18:53:36:359,Steve,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,4,Activity AL,2020-06-27 19:27:46:794,Earl,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,5,Activity AN,2020-06-27 20:08:02:787,Alyce,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,6,Activity AC,2020-06-27 20:54:57:506,Brant,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,7,Activity AG,2020-06-27 21:40:40:963,Chan,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,8,Activity AJ,2020-06-27 22:38:15:295,Micheline,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,9,Activity AH,2020-06-27 23:28:22:214,Brian,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,10,Activity AM,2020-06-28 00:12:19:779,Iluminada,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,11,Activity AP,2020-06-28 00:30:16:260,Jamika,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,12,Activity B,2020-06-28 00:45:31:829,Shandi,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:47:900,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 17:52:05:742,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 18:49:06:304,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 19:37:40:986,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 20:24:36:943,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 21:10:58:181,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 22:10:08:335,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 23:02:21:210,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 23:53:24:060,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-28 00:36:09:421,Chan,normal,normal,"-"
6,11,Activity B,2020-06-28 00:52:40:141,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:03:57:900,Tiffiny,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,2,Activity C,2020-06-27 18:00:00:259,Roseanne,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,3,Activity D,2020-06-27 18:57:52:638,Alpha,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,4,Activity E,2020-06-27 19:41:40:447,Josef,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,5,Activity F,2020-06-27 20:21:23:203,Brian,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,6,Activity H,2020-06-27 21:09:26:913,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,7,Activity I,2020-06-27 21:45:41:650,Della,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,8,Activity M,2020-06-27 22:03:29:899,Hannah,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,9,Activity N,2020-06-27 22:51:59:174,Jimmy,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,10,Activity J,2020-06-27 23:22:38:305,Sonia,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,11,Activity B,2020-06-28 00:21:23:598,Johnny,normal,anomalous,"{'shift_from': 6, 'shift_to': 4, 'size': 1}"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:07:900,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 17:21:03:684,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 18:14:35:806,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 18:45:06:048,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 19:35:22:903,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 20:32:38:566,Brian,normal,normal,"-"
