case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:04:151,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:47:52:882,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:40:56:787,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:15:13:121,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:53:14:878,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:41:27:121,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:15:38:654,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 18:42:52:799,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:39:43:800,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:11:23:416,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 20:36:32:435,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:14:151,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 15:09:45:259,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 16:00:23:617,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:38:09:588,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 17:23:18:641,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 18:09:40:409,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 19:04:58:754,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 19:39:13:113,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 20:37:58:052,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 21:30:19:932,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 22:09:38:100,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:24:151,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:29:48:358,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:23:57:514,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 17:19:41:021,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:49:54:834,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:35:12:074,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 19:29:59:606,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 20:26:34:761,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 21:12:53:958,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:55:47:475,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 22:26:06:232,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 23:21:56:541,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:34:151,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 15:04:14:421,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:50:56:358,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:45:31:867,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:10:38:418,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:10:11:696,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 18:58:15:780,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 19:25:29:962,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 20:12:08:945,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 21:08:01:414,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 21:49:55:017,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:30:18:839,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:44:151,Doretta,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,2,Activity AB,2020-06-27 15:16:10:667,Junior,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,3,Activity AF,2020-06-27 16:11:59:191,Steve,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,4,Activity AL,2020-06-27 16:45:23:970,Earl,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,5,Activity AN,2020-06-27 17:31:51:509,Alyce,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,6,Activity AC,2020-06-27 18:21:11:355,Brant,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,7,Activity AG,2020-06-27 19:14:41:686,Chan,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,8,Activity AJ,2020-06-27 19:37:01:823,Micheline,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,9,Activity AH,2020-06-27 20:29:50:250,Brian,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,10,Activity AM,2020-06-27 21:01:39:197,Iluminada,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,11,Activity AP,2020-06-27 21:43:07:627,Jamika,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,12,Activity B,2020-06-27 21:59:44:618,Shandi,normal,anomalous,"{'shift_from': 9, 'shift_to': 3, 'size': 2}"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:32:54:151,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 15:05:37:586,Roseanne,normal,normal,"-"
