case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:42:316,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:37:03:374,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:28:32:183,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:28:09:600,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:55:24:123,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:49:17:471,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:45:09:967,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:06:13:654,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:01:59:278,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:53:09:735,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:44:16:157,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:52:316,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:41:02:410,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:28:37:718,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:08:05:232,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 16:28:52:765,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 17:23:48:711,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:07:28:102,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 18:31:30:278,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 19:16:33:592,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 20:00:34:263,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 20:44:20:688,Sherell,normal,normal,"-"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:01:02:316,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 14:42:24:352,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:37:14:060,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:33:53:773,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:03:48:302,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:57:18:648,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:56:06:670,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:32:58:878,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:27:54:849,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:12:20:070,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 22:10:17:327,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:31:14:201,Della,normal,normal,"-"
3,13,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:12:316,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 14:22:46:872,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:19:07:068,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:13:16:642,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:03:36:459,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 17:56:48:785,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 18:33:39:102,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 18:59:27:433,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 19:52:40:213,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 20:30:41:518,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 20:47:40:622,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 21:41:42:793,Hoyt,normal,normal,"-"
4,13,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:22:316,Doretta,normal,anomalous,"{'indices': [1, 9]}"
5,2,Random activity 21,2020-06-27 14:20:47:891,Random user 37,normal,anomalous,"{'indices': [1, 9]}"
5,3,Activity AB,2020-06-27 15:10:30:642,Junior,normal,anomalous,"{'indices': [1, 9]}"
5,4,Activity AF,2020-06-27 15:49:34:647,Steve,normal,anomalous,"{'indices': [1, 9]}"
5,5,Activity AC,2020-06-27 16:30:50:011,Brant,normal,anomalous,"{'indices': [1, 9]}"
5,6,Activity AG,2020-06-27 17:16:37:240,Chan,normal,anomalous,"{'indices': [1, 9]}"
5,7,Activity AJ,2020-06-27 18:11:15:466,Micheline,normal,anomalous,"{'indices': [1, 9]}"
5,8,Activity AH,2020-06-27 18:30:06:435,Brian,normal,anomalous,"{'indices': [1, 9]}"
5,9,Activity AL,2020-06-27 19:23:06:757,Earl,normal,anomalous,"{'indices': [1, 9]}"
5,10,Random activity 37,2020-06-27 20:12:15:275,Random user 4,normal,anomalous,"{'indices': [1, 9]}"
5,11,Activity AN,2020-06-27 21:11:13:385,Alyce,normal,anomalous,"{'indices': [1, 9]}"
5,12,Activity AM,2020-06-27 21:38:35:228,Iluminada,normal,anomalous,"{'indices': [1, 9]}"
5,13,Activity AP,2020-06-27 22:29:52:148,Jamika,normal,anomalous,"{'indices': [1, 9]}"
5,14,Activity B,2020-06-27 23:00:14:085,Shandi,normal,anomalous,"{'indices': [1, 9]}"
5,15,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:32:316,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 14:51:16:438,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:36:37:517,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:20:39:404,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:00:03:606,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 17:48:20:257,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:25:44:497,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 18:43:00:012,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 19:37:03:045,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 20:18:58:948,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 20:48:37:090,Carmella,normal,normal,"-"
6,12,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:42:316,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 14:59:02:138,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 15:52:42:949,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:30:56:859,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 17:12:37:174,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 18:11:37:618,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:48:50:647,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 19:41:40:857,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 20:29:40:903,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 21:27:15:686,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 22:08:09:025,Johnny,normal,normal,"-"
