case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:04:332,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:18:12:480,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:13:00:380,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:01:00:012,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 19:19:39:049,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 20:12:39:130,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:01:26:378,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 21:45:03:239,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 22:44:35:085,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 23:36:00:838,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:07:33:617,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:14:332,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 17:40:55:177,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 18:40:17:542,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 19:16:01:903,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 19:35:59:239,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 20:28:01:260,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:12:15:174,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 21:30:39:832,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 22:21:04:110,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 22:57:06:208,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 23:53:21:535,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:24:332,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:33:19:064,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:24:34:797,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:10:19:953,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 20:03:16:357,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:48:33:419,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:32:12:931,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:20:56:193,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 23:13:26:566,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-28 00:12:23:488,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:37:13:079,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 00:56:01:847,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:34:332,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:50:18:752,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:47:26:766,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:20:15:668,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 20:09:17:230,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 21:03:03:525,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:35:52:435,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 21:55:24:749,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 22:42:23:869,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 23:16:01:469,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:13:16:090,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 00:36:24:565,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:44:332,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,2,Activity AB,2020-06-27 17:41:21:943,Junior,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,3,Activity AF,2020-06-27 18:30:22:100,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,4,Activity AJ,2020-06-27 19:25:05:638,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,5,Activity AH,2020-06-27 20:21:51:798,Brian,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,6,Activity AL,2020-06-27 21:19:03:852,Earl,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,7,Activity AN,2020-06-27 22:11:17:269,Alyce,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,8,Activity AM,2020-06-27 22:36:19:638,Iluminada,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,9,Activity AP,2020-06-27 23:30:02:744,Jamika,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,10,Activity B,2020-06-28 00:10:45:970,Shandi,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:54:332,Keven,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
6,2,Activity C,2020-06-27 17:33:49:478,Roseanne,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
6,3,Activity D,2020-06-27 18:20:20:149,Alpha,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sandra'}}]}"
