case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:37:584,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:57:52:768,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:48:48:959,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:32:29:439,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:51:24:214,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:40:21:261,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:13:26:790,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 18:59:42:314,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:52:49:939,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:24:12:292,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 20:54:49:875,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:47:584,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:54:17:514,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:47:21:257,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:46:56:067,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 17:06:07:005,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 18:01:01:333,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:50:25:363,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 19:12:19:559,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 20:10:02:662,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 20:46:34:236,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 21:04:31:244,Sherell,normal,normal,"-"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:57:584,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 14:18:27:503,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:09:39:676,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:06:09:209,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 16:34:25:358,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:31:52:438,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:27:59:064,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:15:32:145,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:10:13:842,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:03:59:494,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:54:53:865,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:36:53:209,Della,normal,normal,"-"
3,13,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:07:584,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 14:50:10:136,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:43:51:116,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:25:01:660,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:20:40:460,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:19:54:083,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 18:56:42:029,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 19:33:43:080,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 20:32:42:131,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 21:09:25:618,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 21:43:59:868,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:04:37:632,Hoyt,normal,normal,"-"
4,13,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:17:584,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,2,Activity AB,2020-06-27 14:23:22:954,Junior,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,3,Activity AF,2020-06-27 15:10:24:798,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,4,Activity AJ,2020-06-27 16:00:32:836,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
