case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:09:216,normal,normal,-,"-"
1,2,Activity C,2020-06-27 17:46:49:175,normal,normal,-,"-"
1,3,Activity D,2020-06-27 18:33:33:543,normal,normal,-,"-"
1,4,Activity E,2020-06-27 19:14:28:422,normal,normal,-,"-"
1,5,Activity H,2020-06-27 19:54:02:617,normal,normal,-,"-"
1,6,Activity F,2020-06-27 20:50:50:331,normal,normal,-,"-"
1,7,Activity I,2020-06-27 21:36:27:164,normal,normal,-,"-"
1,8,Activity M,2020-06-27 22:24:23:225,normal,normal,-,"-"
1,9,Activity N,2020-06-27 23:19:45:918,normal,normal,-,"-"
1,10,Activity J,2020-06-27 23:50:17:408,normal,normal,-,"-"
1,11,Activity B,2020-06-28 00:16:46:618,normal,normal,-,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:19:216,normal,normal,-,"-"
2,2,Activity C,2020-06-27 17:20:36:512,normal,normal,-,"-"
2,3,Activity D,2020-06-27 18:12:35:502,normal,normal,-,"-"
2,4,Activity E,2020-06-27 19:11:32:610,normal,normal,-,"-"
2,5,Activity H,2020-06-27 20:09:22:968,normal,normal,-,"-"
2,6,Activity F,2020-06-27 21:00:08:123,normal,normal,-,"-"
2,7,Activity I,2020-06-27 21:41:44:744,normal,normal,-,"-"
2,8,Activity M,2020-06-27 22:35:03:549,normal,normal,-,"-"
2,9,Activity N,2020-06-27 23:29:43:899,normal,normal,-,"-"
2,10,Activity J,2020-06-28 00:09:46:570,normal,normal,-,"-"
2,11,Activity B,2020-06-28 00:50:02:145,normal,normal,-,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:29:216,normal,normal,-,"-"
3,2,Activity C,2020-06-27 17:49:06:659,normal,normal,-,"-"
3,3,Activity D,2020-06-27 18:38:53:419,normal,normal,-,"-"
3,4,Activity E,2020-06-27 19:11:53:848,normal,normal,-,"-"
3,5,Activity H,2020-06-27 19:41:40:961,normal,normal,-,"-"
3,6,Activity F,2020-06-27 20:30:33:841,normal,normal,-,"-"
3,7,Activity I,2020-06-27 21:23:15:542,normal,normal,-,"-"
3,8,Activity M,2020-06-27 22:08:05:214,normal,normal,-,"-"
3,9,Activity N,2020-06-27 23:04:23:655,normal,normal,-,"-"
3,10,Activity J,2020-06-27 23:50:17:670,normal,normal,-,"-"
3,11,Activity B,2020-06-28 00:18:37:284,normal,normal,-,"-"
3,12,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:39:216,normal,normal,-,"-"
4,2,Activity AB,2020-06-27 17:20:51:031,normal,normal,-,"-"
