case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:09:702,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:19:36:347,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:10:22:061,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 18:48:01:874,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:45:48:828,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:33:12:766,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:11:22:625,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 21:45:27:064,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:19:702,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 18:02:29:882,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:58:20:474,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:35:37:590,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:11:35:982,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:00:07:471,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:47:21:282,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:29:702,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:42:46:676,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:34:11:165,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:39:702,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:32:00:573,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:24:49:080,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:21:05:761,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:55:17:736,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:49:47:608,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:30:44:912,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:49:26:194,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:49:702,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:27:02:251,Della,normal,normal,"-"
