case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:48:317,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:20:14:300,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:12:10:755,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 15:58:57:580,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:46:59:305,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:40:22:401,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:33:28:534,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:03:44:626,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:58:317,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:21:53:461,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:12:48:989,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 15:45:09:589,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 16:02:41:838,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 16:54:25:225,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 17:40:03:678,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:01:08:317,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:21:16:348,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:09:52:556,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:18:317,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:34:30:440,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:20:21:102,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 15:56:16:193,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:15:45:913,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:10:16:970,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:01:00:629,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 18:45:35:742,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:28:317,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:44:16:800,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:40:18:664,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:22:19:274,Deloras,normal,normal,"-"
