case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:11:161,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:26:28:211,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:14:23:908,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:48:30:228,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:27:53:019,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:20:52:800,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:04:36:982,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:50:12:880,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:21:161,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:29:11:184,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:26:53:446,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:59:09:266,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:39:35:789,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:32:07:799,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:32:04:082,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:31:161,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:57:20:647,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:52:52:182,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:41:161,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:17:23:409,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:03:33:450,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:58:21:073,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:31:13:132,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:28:09:830,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:19:46:574,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:42:07:563,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:51:161,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:15:10:706,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:05:43:464,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:39:40:742,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:56:22:259,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:43:13:275,Howard,normal,normal,"-"
