case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:34:991,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:50:04:924,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:41:18:414,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:12:54:904,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:39:47:882,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:39:05:459,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:28:24:453,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:26:19:825,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:44:991,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:50:09:035,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:48:26:207,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:43:28:113,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:25:14:487,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:23:53:398,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:07:15:212,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:54:991,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:16:59:392,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:04:06:737,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:04:991,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:41:33:372,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:37:28:336,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:19:51:062,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:45:35:112,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:41:52:322,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:13:10:609,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:01:31:303,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:14:991,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:56:31:602,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:53:30:413,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:35:27:662,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:59:32:814,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:50:41:743,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:36:07:037,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:19:43:996,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:24:991,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:18:47:171,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:09:12:203,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 15:47:53:259,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 16:23:44:458,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:22:30:565,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:04:41:604,Maryellen,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:34:991,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:56:24:035,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:42:23:906,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:13:48:796,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:12:10:068,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:11:08:044,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:46:04:390,Alpha,normal,normal,"-"
7,8,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:44:991,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:39:30:096,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:30:26:117,Michaele,normal,normal,"-"
8,4,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:54:991,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 14:46:30:313,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 15:37:27:476,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 16:28:50:723,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 17:01:07:858,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 17:58:18:209,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 18:44:03:645,Alpha,normal,normal,"-"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:04:991,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 14:59:31:292,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 15:45:47:917,Michaele,normal,normal,"-"
10,4,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:02:14:991,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 14:30:57:355,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 15:22:05:424,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 15:59:55:877,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 16:38:57:382,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 17:36:43:308,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 18:26:50:863,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 18:55:27:621,Michaele,normal,normal,"-"
11,9,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:02:24:991,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 14:40:53:435,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 15:38:35:349,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 16:36:33:657,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 17:26:48:222,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 18:11:53:362,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 18:48:54:910,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 19:25:35:283,Sherlene,normal,normal,"-"
12,9,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:02:34:991,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 14:42:07:111,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 15:36:17:323,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 16:10:42:122,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 17:05:06:730,Jin,normal,normal,"-"
