case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:10:812,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:26:00:749,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:22:50:344,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 17:17:56:152,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:49:16:149,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:36:48:618,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:32:15:667,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 20:11:36:767,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:20:812,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:11:12:546,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:59:03:948,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:31:17:495,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:29:42:385,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:23:36:751,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:11:57:705,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:30:812,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:27:31:312,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:23:42:751,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:40:812,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:55:59:524,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:51:48:913,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:51:47:896,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:33:08:826,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:24:29:159,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:02:27:173,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:19:03:650,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
