case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:09:866,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:44:24:667,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:44:21:779,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:17:22:362,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:58:54:132,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:50:32:603,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:28:28:584,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:05:22:176,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:19:866,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:49:51:351,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:48:35:107,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:36:23:408,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:09:56:085,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:07:57:611,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:46:44:014,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:29:866,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:29:32:595,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:28:13:473,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:39:866,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:51:50:389,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:50:55:230,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:32:41:759,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 20:28:58:979,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 21:17:26:872,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 22:15:31:954,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 23:08:16:007,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:49:866,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:33:24:752,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:24:33:855,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:01:12:768,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:43:32:983,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:41:56:017,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:30:12:010,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:29:00:683,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:59:866,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:40:01:058,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:37:17:565,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:29:16:253,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:00:22:452,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 20:59:47:123,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:57:57:075,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:09:866,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:55:05:388,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:50:27:409,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:20:38:232,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 19:51:36:033,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:50:31:977,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:40:26:653,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:19:866,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:45:04:155,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:44:54:136,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:29:866,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:38:57:049,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:33:33:101,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:17:30:247,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 20:05:49:988,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 20:51:19:867,Ryan,normal,normal,"-"
