case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:20:371,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:16:14:894,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:14:11:814,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:55:39:923,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:55:19:595,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:44:31:440,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:38:00:648,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 20:28:06:723,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:30:371,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:13:40:054,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:07:03:294,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:53:29:824,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:51:45:717,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:37:57:515,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:29:54:214,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:40:371,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:31:07:588,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:21:03:976,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:50:371,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:11:31:951,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:02:21:063,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:34:58:172,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:59:12:445,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:58:18:197,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:46:16:829,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:16:45:680,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:00:371,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:53:47:825,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:41:35:664,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:11:39:052,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:05:13:453,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:53:55:067,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:29:37:404,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:03:22:425,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:10:371,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:05:01:190,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:02:26:691,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:49:21:772,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:47:33:876,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:36:30:502,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:32:51:511,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:20:371,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:52:00:708,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:51:20:920,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:49:24:439,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:46:25:148,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:43:22:499,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:33:26:346,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:30:371,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:19:27:790,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:07:44:803,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:40:371,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 15:09:29:741,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 15:57:52:388,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 16:31:21:498,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 17:27:16:261,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 18:26:55:651,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 18:58:24:806,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:50:371,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 15:32:49:919,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 16:19:02:544,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:34:00:371,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 15:04:39:875,Wilton,normal,normal,"-"
