case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:02:727,normal,normal,-,"-"
1,2,Activity Y,2020-06-27 17:30:25:983,normal,normal,-,"-"
1,3,Activity B,2020-06-27 18:20:34:389,normal,normal,-,"-"
1,4,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:12:727,normal,normal,-,"-"
2,2,Activity C,2020-06-27 17:21:36:506,normal,normal,-,"-"
2,3,Activity F,2020-06-27 18:15:19:404,normal,normal,-,"-"
2,4,Activity D,2020-06-27 18:47:46:769,normal,normal,-,"-"
2,5,Activity I,2020-06-27 19:25:47:715,normal,normal,-,"-"
2,6,Activity L,2020-06-27 20:20:38:338,normal,normal,-,"-"
2,7,Activity J,2020-06-27 20:55:20:854,normal,normal,-,"-"
2,8,Activity B,2020-06-27 21:49:31:026,normal,normal,-,"-"
2,9,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:22:727,normal,normal,-,"-"
3,2,Activity C,2020-06-27 17:50:31:601,normal,normal,-,"-"
3,3,Activity F,2020-06-27 18:36:44:370,normal,normal,-,"-"
3,4,Activity D,2020-06-27 19:19:54:912,normal,normal,-,"-"
3,5,Activity I,2020-06-27 20:17:10:178,normal,normal,-,"-"
3,6,Activity L,2020-06-27 21:10:21:308,normal,normal,-,"-"
3,7,Activity J,2020-06-27 21:49:39:888,normal,normal,-,"-"
3,8,Activity B,2020-06-27 22:40:04:449,normal,normal,-,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:32:727,normal,normal,-,"-"
4,2,Activity Z,2020-06-27 18:01:20:211,normal,normal,-,"-"
4,3,Activity AA,2020-06-27 18:49:18:506,normal,normal,-,"-"
4,4,Activity AE,2020-06-27 19:22:01:001,normal,normal,-,"-"
4,5,Activity AB,2020-06-27 19:57:09:589,normal,normal,-,"-"
4,6,Activity B,2020-06-27 20:46:34:521,normal,normal,-,"-"
4,7,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:42:727,normal,normal,-,"-"
5,2,Activity Y,2020-06-27 17:57:27:628,normal,normal,-,"-"
5,3,Activity B,2020-06-27 18:44:12:619,normal,normal,-,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:52:727,normal,normal,-,"-"
6,2,Activity C,2020-06-27 17:23:44:872,normal,normal,-,"-"
6,3,Activity E,2020-06-27 18:16:03:795,normal,normal,-,"-"
6,4,Activity D,2020-06-27 18:51:56:103,normal,normal,-,"-"
6,5,Activity I,2020-06-27 19:08:02:579,normal,normal,-,"-"
6,6,Activity L,2020-06-27 20:04:16:513,normal,normal,-,"-"
6,7,Activity J,2020-06-27 20:53:01:390,normal,normal,-,"-"
6,8,Activity B,2020-06-27 21:11:29:722,normal,normal,-,"-"
6,9,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:02:727,normal,normal,-,"-"
7,2,Activity Y,2020-06-27 17:55:56:627,normal,normal,-,"-"
7,3,Activity B,2020-06-27 18:47:03:663,normal,normal,-,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:12:727,normal,normal,-,"-"
8,2,Activity Y,2020-06-27 17:46:31:459,normal,normal,-,"-"
8,3,Activity B,2020-06-27 18:37:54:788,normal,normal,-,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:22:727,normal,normal,-,"-"
9,2,Activity Y,2020-06-27 17:27:42:583,normal,normal,-,"-"
9,3,Activity B,2020-06-27 18:14:03:044,normal,normal,-,"-"
9,4,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:32:727,normal,normal,-,"-"
10,2,Activity Y,2020-06-27 17:48:27:273,normal,normal,-,"-"
10,3,Activity B,2020-06-27 18:36:14:961,normal,normal,-,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:42:727,normal,normal,-,"-"
11,2,Activity Z,2020-06-27 17:54:04:857,normal,normal,-,"-"
11,3,Activity AA,2020-06-27 18:42:38:192,normal,normal,-,"-"
11,4,Activity AC,2020-06-27 19:14:03:788,normal,normal,-,"-"
11,5,Activity AB,2020-06-27 20:03:11:763,normal,normal,-,"-"
11,6,Activity B,2020-06-27 20:50:13:818,normal,normal,-,"-"
11,7,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:04:52:727,normal,normal,-,"-"
12,2,Activity Y,2020-06-27 17:33:33:733,normal,normal,-,"-"
12,3,Activity B,2020-06-27 18:27:42:458,normal,normal,-,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
