case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:11:954,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:06:56:681,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 16:02:18:668,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:55:21:659,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 17:24:59:643,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 18:16:27:394,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 18:54:53:649,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:27:26:292,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:21:48:985,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:01:45:251,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:21:954,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:47:44:253,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:39:27:511,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:14:04:815,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:42:52:336,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:33:14:236,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:13:54:445,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:31:954,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:16:03:107,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:08:52:525,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:59:40:957,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:45:49:932,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:38:25:195,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:09:03:835,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:58:01:844,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:49:58:332,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:44:52:434,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:41:954,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:16:05:986,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:10:03:036,James,normal,normal,"-"
4,4,Activity D,2020-06-27 17:08:06:921,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:23:28:461,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:17:10:388,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:04:31:583,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:43:10:665,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:36:25:058,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:13:36:009,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:51:954,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:12:57:136,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:02:29:662,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:46:14:982,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:12:52:630,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:02:06:508,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:48:27:059,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:38:40:481,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:38:01:746,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:28:21:358,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:01:954,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 15:23:33:498,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 16:16:00:525,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 17:14:22:496,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 18:13:58:509,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 19:07:47:860,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 19:56:39:675,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:11:954,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 15:13:23:173,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:58:44:594,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:54:10:385,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:23:24:348,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:11:28:190,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:59:22:283,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:26:16:261,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:24:43:524,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 21:19:12:243,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:21:954,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 15:12:59:349,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 16:02:13:921,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:41:25:664,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 16:59:36:842,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 17:44:54:910,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 18:44:20:079,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:31:954,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 14:49:54:484,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:41:25:437,James,normal,normal,"-"
9,4,Activity D,2020-06-27 16:21:25:659,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 16:55:15:977,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 17:54:33:853,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 18:52:37:008,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 19:52:33:105,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 20:42:15:501,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 21:28:07:669,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:41:954,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 15:20:21:040,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 16:16:43:391,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 16:59:57:689,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 17:27:20:194,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 18:17:18:121,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 18:54:47:176,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 19:42:25:531,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 20:38:01:546,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 21:29:11:669,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:33:51:954,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 15:01:09:875,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 15:54:00:034,James,normal,normal,"-"
11,4,Activity D,2020-06-27 16:33:32:784,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 17:15:25:577,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 18:08:38:218,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 18:40:43:186,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 19:25:15:030,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 20:23:44:154,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 21:21:17:829,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:01:954,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 15:12:05:969,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 16:11:19:012,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 16:50:51:200,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 17:15:32:583,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 18:04:17:265,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 19:00:43:453,James,normal,normal,"-"
12,8,Activity I,2020-06-27 19:49:32:871,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 20:37:16:548,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 21:13:26:615,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:11:954,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 14:55:51:064,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 15:45:19:359,James,normal,normal,"-"
13,4,Activity D,2020-06-27 16:25:17:606,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 17:17:16:240,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 18:04:22:578,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 18:52:46:188,James,normal,normal,"-"
13,8,Activity I,2020-06-27 19:28:01:786,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 20:27:31:379,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 21:26:11:279,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:21:954,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 14:52:43:110,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 15:43:56:497,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 16:17:34:622,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 16:33:59:952,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 17:33:03:724,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 18:08:19:989,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 19:03:03:749,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 19:54:31:544,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-27 20:35:02:767,Howard,normal,normal,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:31:954,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 14:50:50:947,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 15:48:41:004,James,normal,normal,"-"
15,4,Activity D,2020-06-27 16:38:57:693,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 17:30:28:063,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 18:19:19:341,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 18:58:48:535,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 19:55:56:448,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 20:52:17:045,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 21:49:11:447,Howard,normal,normal,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:34:41:954,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 15:09:24:268,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 15:55:55:017,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 16:27:23:567,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 17:11:00:997,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 18:00:48:508,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 18:51:31:217,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 19:12:02:409,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 20:00:07:595,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 20:50:31:198,Howard,normal,normal,"-"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:34:51:954,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 14:57:52:201,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 15:51:16:372,James,normal,normal,"-"
17,4,Activity D,2020-06-27 16:41:29:984,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 16:56:30:278,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 17:44:01:125,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 18:30:11:876,Lisa,normal,normal,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:35:01:954,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 15:18:14:137,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 16:04:13:760,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 16:37:05:621,Lourdes,normal,normal,"-"
18,5,Activity E,2020-06-27 17:33:39:533,Della,normal,normal,"-"
18,6,Activity T,2020-06-27 18:23:52:857,Ryan,normal,normal,"-"
18,7,Activity F,2020-06-27 19:18:44:786,Lisa,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:35:11:954,Sherlene,normal,normal,"-"
19,2,Activity B,2020-06-27 15:18:39:159,Earl,normal,normal,"-"
19,3,Activity C,2020-06-27 16:13:19:534,Brant,normal,normal,"-"
19,4,Activity D,2020-06-27 17:04:38:857,Lourdes,normal,normal,"-"
19,5,Activity E,2020-06-27 17:35:58:883,Paul,normal,normal,"-"
19,6,Activity T,2020-06-27 18:31:36:077,Ryan,normal,normal,"-"
19,7,Activity F,2020-06-27 19:18:14:993,Lisa,normal,normal,"-"
19,8,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:35:21:954,Sherlene,normal,normal,"-"
20,2,Activity B,2020-06-27 15:33:52:930,Earl,normal,normal,"-"
20,3,Activity C,2020-06-27 16:23:29:924,Brant,normal,normal,"-"
20,4,Activity D,2020-06-27 17:23:20:291,Lourdes,normal,normal,"-"
20,5,Activity E,2020-06-27 18:11:03:131,Gema,normal,normal,"-"
20,6,Activity K,2020-06-27 19:05:37:071,Pam,normal,normal,"-"
20,7,Activity M,2020-06-27 19:36:09:078,Issac,normal,normal,"-"
20,8,Activity N,2020-06-27 19:58:41:114,Sonia,normal,normal,"-"
20,9,Activity L,2020-06-27 20:44:43:977,Keven,normal,normal,"-"
20,10,Activity F,2020-06-27 21:16:05:671,Howard,normal,normal,"-"
20,11,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:35:31:954,Sherlene,normal,normal,"-"
21,2,Activity B,2020-06-27 15:07:25:369,Earl,normal,normal,"-"
21,3,Activity C,2020-06-27 16:04:24:931,James,normal,normal,"-"
21,4,Activity D,2020-06-27 16:53:31:119,Lourdes,normal,normal,"-"
21,5,Activity E,2020-06-27 17:40:29:494,Tiffiny,normal,normal,"-"
21,6,Activity K,2020-06-27 18:25:30:163,Melany,normal,normal,"-"
21,7,Activity O,2020-06-27 19:04:57:624,Melany,normal,normal,"-"
21,8,Activity P,2020-06-27 19:32:31:009,Grayce,normal,normal,"-"
21,9,Activity L,2020-06-27 20:23:07:089,Amanda,normal,normal,"-"
21,10,Activity F,2020-06-27 20:56:57:317,Emily,normal,normal,"-"
21,11,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:35:41:954,Sherlene,normal,normal,"-"
22,2,Activity B,2020-06-27 14:53:28:014,Doretta,normal,normal,"-"
22,3,Activity C,2020-06-27 15:42:20:735,Donald,normal,normal,"-"
22,4,Activity D,2020-06-27 16:22:18:164,Lourdes,normal,normal,"-"
22,5,Activity E,2020-06-27 16:45:57:158,Paul,normal,normal,"-"
22,6,Activity T,2020-06-27 17:31:49:082,Ryan,normal,normal,"-"
22,7,Activity F,2020-06-27 18:24:29:278,Lisa,normal,normal,"-"
22,8,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:35:51:954,Sherlene,normal,normal,"-"
23,2,Activity B,2020-06-27 15:14:05:860,Earl,normal,normal,"-"
23,3,Activity C,2020-06-27 16:08:48:196,Brant,normal,normal,"-"
23,4,Activity D,2020-06-27 16:59:57:686,Lourdes,normal,normal,"-"
23,5,Activity E,2020-06-27 17:41:41:266,Della,normal,normal,"-"
23,6,Activity T,2020-06-27 18:38:39:847,Ryan,normal,normal,"-"
23,7,Activity F,2020-06-27 19:33:43:917,Lisa,normal,normal,"-"
23,8,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:36:01:954,Sherlene,normal,normal,"-"
24,2,Activity B,2020-06-27 14:55:00:760,Doretta,normal,normal,"-"
24,3,Activity C,2020-06-27 15:43:15:412,James,normal,normal,"-"
24,4,Activity D,2020-06-27 16:21:39:869,Lourdes,normal,normal,"-"
24,5,Activity E,2020-06-27 17:06:55:271,Tiffiny,normal,normal,"-"
24,6,Activity K,2020-06-27 18:00:17:829,Melany,normal,normal,"-"
24,7,Activity O,2020-06-27 18:41:50:896,Melany,normal,normal,"-"
24,8,Activity P,2020-06-27 19:08:30:771,Sigrid,normal,normal,"-"
24,9,Activity L,2020-06-27 19:55:43:934,Steve,normal,normal,"-"
24,10,Activity F,2020-06-27 20:38:41:628,Emily,normal,normal,"-"
24,11,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:36:11:954,Sherlene,normal,normal,"-"
25,2,Activity B,2020-06-27 15:13:38:776,Earl,normal,normal,"-"
25,3,Activity C,2020-06-27 16:07:39:275,Brant,normal,normal,"-"
25,4,Activity D,2020-06-27 16:39:59:170,Lourdes,normal,normal,"-"
25,5,Activity E,2020-06-27 17:01:56:803,Della,normal,normal,"-"
25,6,Activity T,2020-06-27 18:00:45:598,Ryan,normal,normal,"-"
25,7,Activity F,2020-06-27 18:39:54:231,Lisa,normal,normal,"-"
25,8,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 14:36:21:954,Sherlene,normal,normal,"-"
26,2,Activity B,2020-06-27 14:57:50:684,Doretta,normal,normal,"-"
26,3,Activity C,2020-06-27 15:55:17:096,Brant,normal,normal,"-"
26,4,Activity D,2020-06-27 16:39:26:552,Lourdes,normal,normal,"-"
26,5,Activity E,2020-06-27 17:04:39:050,Paul,normal,normal,"-"
26,6,Activity T,2020-06-27 17:55:48:450,Ryan,normal,normal,"-"
26,7,Activity F,2020-06-27 18:43:22:605,Lisa,normal,normal,"-"
26,8,■,,,,,""
27,0,▶,,,,,""
27,1,Activity A,2020-06-27 14:36:31:954,Sherlene,normal,normal,"-"
27,2,Activity B,2020-06-27 15:11:44:990,Doretta,normal,normal,"-"
27,3,Activity C,2020-06-27 16:03:58:648,Donald,normal,normal,"-"
27,4,Activity D,2020-06-27 16:34:34:129,Lourdes,normal,normal,"-"
27,5,Activity E,2020-06-27 17:13:08:294,Paul,normal,normal,"-"
27,6,Activity T,2020-06-27 17:58:14:789,Ryan,normal,normal,"-"
27,7,Activity F,2020-06-27 18:53:46:118,Lisa,normal,normal,"-"
27,8,■,,,,,""
28,0,▶,,,,,""
28,1,Activity A,2020-06-27 14:36:41:954,Sherlene,normal,normal,"-"
28,2,Activity B,2020-06-27 15:03:41:162,Earl,normal,normal,"-"
28,3,Activity C,2020-06-27 15:54:47:446,Donald,normal,normal,"-"
28,4,Activity D,2020-06-27 16:25:36:021,Lourdes,normal,normal,"-"
28,5,Activity E,2020-06-27 17:23:34:096,Paul,normal,normal,"-"
28,6,Activity T,2020-06-27 18:21:27:379,Ryan,normal,normal,"-"
28,7,Activity F,2020-06-27 19:09:51:782,Lisa,normal,normal,"-"
28,8,■,,,,,""
29,0,▶,,,,,""
29,1,Activity A,2020-06-27 14:36:51:954,Sherlene,normal,normal,"-"
29,2,Activity B,2020-06-27 15:27:40:699,Earl,normal,normal,"-"
29,3,Activity C,2020-06-27 16:15:04:424,James,normal,normal,"-"
29,4,Activity D,2020-06-27 16:51:13:507,Lourdes,normal,normal,"-"
29,5,Activity E,2020-06-27 17:17:19:382,Tiffiny,normal,normal,"-"
29,6,Activity K,2020-06-27 18:04:59:343,Pam,normal,normal,"-"
29,7,Activity Q,2020-06-27 18:48:13:547,Roseanne,normal,normal,"-"
29,8,Activity L,2020-06-27 19:46:27:122,Della,normal,normal,"-"
29,9,Activity F,2020-06-27 20:37:19:931,Lisa,normal,normal,"-"
29,10,■,,,,,""
30,0,▶,,,,,""
30,1,Activity A,2020-06-27 14:37:01:954,Sherlene,normal,normal,"-"
30,2,Activity B,2020-06-27 15:28:15:817,Earl,normal,normal,"-"
30,3,Activity C,2020-06-27 16:19:29:392,Brant,normal,normal,"-"
30,4,Activity D,2020-06-27 17:07:16:449,Lourdes,normal,normal,"-"
30,5,Activity E,2020-06-27 17:32:01:472,Hugo,normal,normal,"-"
30,6,Activity G,2020-06-27 18:28:25:916,Elisha,normal,normal,"-"
30,7,Activity H,2020-06-27 19:12:46:151,James,normal,normal,"-"
30,8,Activity I,2020-06-27 19:34:35:461,Jack,normal,normal,"-"
30,9,Activity J,2020-06-27 20:23:06:445,Sonia,normal,normal,"-"
30,10,Activity F,2020-06-27 21:11:35:364,Howard,normal,normal,"-"
30,11,■,,,,,""
31,0,▶,,,,,""
31,1,Activity A,2020-06-27 14:37:11:954,Sherlene,normal,normal,"-"
31,2,Activity B,2020-06-27 15:03:59:181,Earl,normal,normal,"-"
31,3,Activity C,2020-06-27 15:54:02:426,James,normal,normal,"-"
31,4,Activity D,2020-06-27 16:48:48:892,Lourdes,normal,normal,"-"
31,5,Activity E,2020-06-27 17:24:15:990,Della,normal,normal,"-"
31,6,Activity T,2020-06-27 18:15:37:224,Ryan,normal,normal,"-"
31,7,Activity F,2020-06-27 18:46:33:996,Lisa,normal,normal,"-"
31,8,■,,,,,""
32,0,▶,,,,,""
32,1,Activity A,2020-06-27 14:37:21:954,Sherlene,normal,normal,"-"
32,2,Activity B,2020-06-27 15:36:36:950,Doretta,normal,normal,"-"
32,3,Activity C,2020-06-27 16:29:59:061,Brant,normal,normal,"-"
