case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:02:358,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:43:20:995,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:32:16:237,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:21:38:127,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:19:58:872,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:12:54:972,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:45:13:201,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:12:36:375,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 22:58:15:711,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 23:29:37:234,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:12:358,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:37:06:474,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:22:32:969,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:04:54:670,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:28:31:105,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:28:11:853,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:10:27:615,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:22:358,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:58:42:020,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:49:10:669,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:39:31:506,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:20:16:242,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:14:47:345,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 22:10:17:575,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:48:24:467,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:38:49:794,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:18:15:770,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:15:32:358,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:11:38:642,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:59:33:237,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:53:40:638,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:25:32:195,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:18:48:318,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:06:36:981,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:44:14:219,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:31:28:554,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:27:04:913,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:15:42:358,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:33:02:966,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:28:59:423,James,normal,normal,"-"
