case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:31:524,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 14:28:50:463,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 15:25:55:818,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:23:00:956,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 17:13:26:404,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 18:05:23:664,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 18:44:54:242,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:20:13:540,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:05:52:086,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 20:50:24:317,Howard,normal,normal,"-"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:41:524,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:53:03:085,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:50:00:555,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:27:24:120,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:50:45:600,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:45:51:008,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:43:37:186,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:51:524,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:50:57:716,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:47:06:198,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:33:53:659,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:59:50:013,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:44:58:013,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:21:41:977,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 18:37:43:824,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:36:26:414,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:29:59:057,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:01:524,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:28:16:568,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:21:29:540,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:00:39:927,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:48:05:757,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:45:45:183,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:38:40:915,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:02:28:015,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 19:56:34:708,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:28:40:087,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:11:524,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:46:48:984,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:33:59:503,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:17:39:533,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 16:59:27:790,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 17:56:33:274,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:45:52:650,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:11:35:974,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:09:13:498,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:01:43:967,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:21:524,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 14:44:29:155,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 15:29:58:278,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:09:05:465,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:04:31:275,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 18:01:01:224,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 18:33:02:361,Lisa,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:31:524,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:38:10:291,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:37:40:840,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:31:58:519,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:26:32:574,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:23:08:157,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:59:37:790,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:15:35:261,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:08:03:757,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 20:41:20:212,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:41:524,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:50:08:861,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:45:07:381,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:21:18:428,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 17:19:45:369,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 18:13:13:503,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 18:48:43:692,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:51:524,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 14:58:52:360,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:57:02:637,James,normal,normal,"-"
9,4,Activity D,2020-06-27 16:52:20:645,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 17:32:13:278,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 18:21:22:773,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 18:55:37:507,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 19:52:50:250,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 20:50:29:376,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 21:20:49:467,Howard,normal,normal,"-"
9,11,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:01:524,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 14:34:20:822,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 15:20:00:456,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 16:09:36:931,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 16:51:01:479,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 17:36:18:454,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 18:16:39:234,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 18:37:04:412,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 19:36:12:203,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 20:31:40:095,Emily,normal,normal,"-"
10,11,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:02:11:524,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 14:24:00:758,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 15:12:12:167,James,normal,normal,"-"
11,4,Activity D,2020-06-27 15:51:54:325,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 16:18:16:668,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 17:12:35:338,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 18:05:09:137,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 18:46:49:885,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 19:37:59:867,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 20:26:59:216,Howard,normal,normal,"-"
11,11,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:02:21:524,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 14:49:08:107,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 15:46:30:409,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 16:17:03:704,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 17:02:15:997,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 17:59:03:640,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 18:41:57:186,James,normal,normal,"-"
12,8,Activity I,2020-06-27 19:21:34:331,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 20:10:30:854,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 21:07:48:563,Howard,normal,normal,"-"
12,11,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:02:31:524,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 14:35:28:260,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 15:35:10:837,James,normal,normal,"-"
13,4,Activity D,2020-06-27 16:26:46:806,Lourdes,normal,normal,"-"
