case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:05:531,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 18:00:00:427,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:54:38:876,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:52:09:722,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:33:29:469,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:29:40:333,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 22:15:02:003,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:55:44:121,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:40:48:960,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:33:51:337,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:15:531,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:48:48:832,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:36:28:414,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:19:09:191,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:41:47:861,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:29:50:972,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:03:32:039,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:25:531,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:32:48:330,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:24:34:726,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:14:36:482,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:58:53:635,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:49:09:511,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:32:42:618,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:55:30:754,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:41:35:957,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:14:04:209,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:15:35:531,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:00:07:300,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:58:33:114,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:42:42:015,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:39:49:001,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:34:55:578,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:33:11:697,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 23:02:26:624,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:53:54:063,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:42:05:643,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:15:45:531,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:52:59:583,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:49:08:482,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:47:55:994,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:42:15:280,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:35:35:071,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 22:18:33:205,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 23:14:32:512,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-28 00:09:50:544,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:48:49:016,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:15:55:531,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:52:26:365,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:48:03:365,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:29:37:818,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 19:45:05:479,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 20:30:46:414,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:10:00:884,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:16:05:531,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:36:21:594,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:24:20:151,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 18:58:50:103,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 19:13:52:293,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:09:29:524,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 20:51:23:732,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 21:47:29:179,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 22:47:26:659,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:40:10:094,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:16:15:531,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:58:42:113,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:47:45:430,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:45:09:712,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 20:20:15:927,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 21:15:30:356,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:47:50:642,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:16:25:531,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:48:19:528,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:40:14:612,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:14:38:835,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:09:50:909,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:08:48:392,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:52:12:286,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:22:30:554,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:18:06:529,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-28 00:07:15:795,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:16:35:531,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:43:19:971,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:36:00:017,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:24:20:043,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 19:42:35:832,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 20:39:19:376,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:36:20:411,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 22:01:19:758,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 22:54:06:872,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 23:26:07:605,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
