case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:36:625,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 14:46:20:710,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 15:41:12:914,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:14:51:096,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 16:49:39:313,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 17:37:58:006,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 18:19:40:753,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:09:19:962,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 19:55:43:747,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 20:41:06:394,Howard,normal,normal,"-"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:46:625,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:43:55:070,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:32:03:716,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:05:34:363,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:48:21:122,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:34:57:229,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:14:22:669,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:56:625,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:38:40:699,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:26:09:343,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:17:22:448,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:03:00:084,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:52:30:755,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:29:08:073,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:01:53:861,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:47:49:629,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:28:12:366,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:06:625,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:57:23:462,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:51:29:237,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:29:27:862,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:56:34:224,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:51:12:006,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:43:25:840,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:41:55:926,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:38:49:810,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:21:13:297,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:16:625,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:47:24:198,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:42:51:429,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:41:04:135,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:37:09:741,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:36:19:402,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:34:47:815,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:51:59:517,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:50:45:318,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:29:34:525,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:26:625,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 14:42:41:561,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 15:38:12:143,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:13:48:661,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 16:40:41:045,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 17:30:00:354,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 18:06:32:569,Lisa,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:36:625,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:45:09:414,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:33:33:164,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:11:37:756,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:07:25:424,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 17:56:22:348,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:35:42:891,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:16:38:684,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:07:51:836,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 20:44:06:023,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:46:625,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:17:17:837,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:05:23:050,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:02:06:575,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 16:24:08:684,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 17:13:08:530,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 17:55:47:751,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:56:625,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 14:28:12:804,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:19:25:996,James,normal,normal,"-"
9,4,Activity D,2020-06-27 16:06:49:158,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 16:55:12:194,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 17:40:17:071,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 18:24:20:638,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 19:10:30:671,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 20:09:08:128,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 20:41:35:607,Howard,normal,normal,"-"
9,11,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:06:625,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 14:24:17:723,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 15:14:18:902,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 16:01:22:513,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 16:27:54:870,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 17:26:48:665,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 18:07:49:935,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 18:51:33:597,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 19:43:43:531,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 20:40:46:284,Emily,normal,normal,"-"
10,11,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:02:16:625,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 14:44:51:304,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 15:40:01:528,James,normal,normal,"-"
11,4,Activity D,2020-06-27 16:32:15:150,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 16:50:11:072,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 17:46:42:931,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 18:41:13:603,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 19:33:33:249,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 20:20:27:857,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 20:51:56:936,Howard,normal,normal,"-"
11,11,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:02:26:625,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 14:23:25:148,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 15:17:58:732,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 16:08:18:516,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 16:52:58:184,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 17:52:45:407,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 18:50:56:574,James,normal,normal,"-"
12,8,Activity I,2020-06-27 19:50:31:233,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 20:37:18:102,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 21:29:43:022,Howard,normal,normal,"-"
12,11,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:02:36:625,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 14:25:51:858,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 15:19:57:926,James,normal,normal,"-"
13,4,Activity D,2020-06-27 15:58:27:676,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 16:46:32:960,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 17:36:36:344,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 18:18:01:803,James,normal,normal,"-"
13,8,Activity I,2020-06-27 18:43:58:534,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 19:30:06:643,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 20:13:32:616,Howard,normal,normal,"-"
13,11,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:02:46:625,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 14:24:18:966,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 15:17:26:782,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 16:00:31:870,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 16:15:57:955,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 17:13:39:123,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 18:02:38:668,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 19:02:18:360,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 19:49:17:966,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-27 20:48:15:958,Howard,normal,normal,"-"
14,11,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:02:56:625,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 14:57:33:329,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 15:48:34:536,James,normal,normal,"-"
15,4,Activity D,2020-06-27 16:42:14:889,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 17:27:17:441,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 18:26:56:113,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 19:08:38:312,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 19:46:26:041,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 20:45:09:495,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 21:45:06:304,Howard,normal,normal,"-"
15,11,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:03:06:625,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 14:46:58:846,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 15:39:54:189,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 16:33:03:816,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 16:51:00:930,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 17:49:47:741,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 18:47:57:382,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 19:37:48:387,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 20:26:35:525,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 21:18:10:904,Howard,normal,normal,"-"
16,11,■,-,-,-,-,"-"
17,0,▶,-,-,-,-,"-"
17,1,Activity A,2020-06-27 14:03:16:625,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 14:19:57:717,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 15:12:00:698,James,normal,normal,"-"
17,4,Activity D,2020-06-27 15:54:29:958,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 16:16:59:502,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 17:10:49:730,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 18:03:22:068,Lisa,normal,normal,"-"
17,8,■,-,-,-,-,"-"
18,0,▶,-,-,-,-,"-"
18,1,Activity A,2020-06-27 14:03:26:625,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 14:26:58:363,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 15:22:14:487,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 16:10:15:990,Lourdes,normal,normal,"-"
