case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:05:747,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:57:36:584,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:46:00:160,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:39:15:887,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:26:21:793,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:25:10:865,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 22:01:58:619,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:32:47:082,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:23:54:277,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:09:58:643,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:15:747,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:49:54:013,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:48:06:519,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:24:46:923,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:21:48:808,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:18:01:144,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:11:27:260,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:25:747,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:27:13:494,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:14:15:822,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:05:00:701,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:21:56:691,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:15:37:395,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 20:59:56:717,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:53:58:497,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:43:38:829,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:42:54:995,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:35:747,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:02:09:795,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:51:24:342,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:28:58:474,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:03:18:206,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:55:12:707,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:49:05:011,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:44:34:555,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:36:52:735,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:29:43:252,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:45:747,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:46:05:992,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:45:22:194,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:35:01:184,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:09:29:635,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:02:05:016,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:36:17:672,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:25:48:470,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:22:20:747,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:00:31:524,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:55:747,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:58:54:703,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:51:52:019,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:34:19:655,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:01:10:003,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 20:48:53:089,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:22:16:310,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:05:747,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:49:59:151,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:49:55:991,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:22:33:552,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:04:19:146,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:57:57:016,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:37:22:410,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:25:52:324,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:19:34:499,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:50:55:551,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:15:747,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:39:04:891,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:29:06:567,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:23:14:378,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 20:00:09:156,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 20:58:25:087,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:39:44:975,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:25:747,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:53:52:945,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:42:53:756,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:39:43:527,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:20:04:897,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:12:57:696,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 22:11:10:400,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:40:02:082,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:29:59:131,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-28 00:05:17:834,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:35:747,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:30:21:170,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:19:59:523,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:08:27:719,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 19:46:29:857,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 20:43:26:130,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:37:37:759,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 21:56:02:415,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 22:54:40:704,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 23:52:12:509,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:45:747,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 17:48:56:251,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 18:48:06:365,James,normal,normal,"-"
11,4,Activity D,2020-06-27 19:27:48:992,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 19:49:15:284,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 20:47:00:164,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 21:43:13:388,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 22:32:09:784,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 23:32:09:762,Keven,normal,normal,"-"
11,10,Activity F,2020-06-28 00:19:10:559,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:04:55:747,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 17:29:30:331,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 18:25:04:584,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 19:13:26:666,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 20:10:36:148,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 21:04:04:938,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 21:55:12:821,James,normal,normal,"-"
12,8,Activity I,2020-06-27 22:10:30:849,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 22:58:52:292,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 23:49:45:834,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:05:05:747,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 17:23:38:814,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 18:11:10:036,James,normal,normal,"-"
13,4,Activity D,2020-06-27 18:54:35:064,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 19:36:42:199,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 20:34:13:667,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 21:04:46:822,James,normal,normal,"-"
13,8,Activity I,2020-06-27 21:36:15:747,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 22:34:30:728,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 23:07:09:360,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:05:15:747,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 17:22:07:281,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 18:08:44:744,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 19:00:18:379,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 19:27:20:466,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 20:18:39:747,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 21:06:45:828,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 21:33:44:793,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 22:32:35:140,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-27 23:04:50:701,Howard,normal,normal,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:05:25:747,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 17:23:42:769,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 18:22:42:596,James,normal,normal,"-"
15,4,Activity D,2020-06-27 18:59:25:847,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 19:14:43:657,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 20:10:23:719,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 21:00:39:561,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 21:17:47:639,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 22:03:50:675,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 22:42:26:885,Howard,normal,normal,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:05:35:747,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 17:29:19:920,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 18:16:50:324,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 19:10:36:103,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 20:01:13:493,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 20:49:17:998,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 21:22:06:909,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 21:55:42:956,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 22:40:55:728,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 23:36:57:677,Howard,normal,normal,"-"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:05:45:747,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 17:59:07:951,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 18:44:12:385,James,normal,normal,"-"
17,4,Activity D,2020-06-27 19:24:51:326,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 20:24:16:764,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 21:09:43:311,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 21:43:02:857,Lisa,normal,normal,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:05:55:747,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 17:22:38:878,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 18:14:46:691,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 19:11:46:737,Lourdes,normal,normal,"-"
18,5,Activity E,2020-06-27 19:34:20:913,Della,normal,normal,"-"
18,6,Activity T,2020-06-27 20:23:56:709,Ryan,normal,normal,"-"
18,7,Activity F,2020-06-27 20:55:24:384,Lisa,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:06:05:747,Sherlene,normal,normal,"-"
19,2,Activity B,2020-06-27 18:00:46:530,Earl,normal,normal,"-"
19,3,Activity C,2020-06-27 18:52:15:717,Brant,normal,normal,"-"
19,4,Activity D,2020-06-27 19:42:38:745,Lourdes,normal,normal,"-"
19,5,Activity E,2020-06-27 20:09:52:692,Paul,normal,normal,"-"
19,6,Activity T,2020-06-27 21:02:28:037,Ryan,normal,normal,"-"
19,7,Activity F,2020-06-27 21:55:49:182,Lisa,normal,normal,"-"
19,8,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:06:15:747,Sherlene,normal,normal,"-"
20,2,Activity B,2020-06-27 17:56:27:218,Earl,normal,normal,"-"
20,3,Activity C,2020-06-27 18:45:48:102,Brant,normal,normal,"-"
20,4,Activity D,2020-06-27 19:23:01:672,Lourdes,normal,normal,"-"
20,5,Activity E,2020-06-27 19:50:30:508,Gema,normal,normal,"-"
20,6,Activity K,2020-06-27 20:38:31:925,Pam,normal,normal,"-"
