case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:10:044,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:42:16:554,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:29:04:977,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:24:52:889,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 19:47:07:532,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 20:34:41:808,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:18:37:996,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 21:39:28:579,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 22:37:08:310,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 23:26:01:581,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:20:044,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:48:16:658,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:35:43:571,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:29:12:531,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:53:37:600,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:50:30:196,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:31:01:048,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:30:044,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:19:35:258,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:09:12:439,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 18:49:45:682,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:17:44:338,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:11:57:951,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 20:52:44:342,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:30:18:493,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:20:55:765,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:02:15:269,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:40:044,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:38:06:421,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:36:13:544,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:27:42:312,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:20:46:119,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:10:27:126,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:47:40:221,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:39:43:063,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:38:48:464,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:15:51:111,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
