case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:20:562,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:06:54:835,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 16:04:34:507,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:56:24:309,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 17:14:41:220,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 18:13:46:953,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 19:08:20:510,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:33:35:306,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:22:29:492,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:08:32:293,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:30:562,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:03:42:917,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:49:55:470,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:30:16:825,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:28:16:980,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:15:44:719,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:12:31:254,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:40:562,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:48:40:084,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:37:42:375,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:21:25:618,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:42:22:639,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:41:51:875,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:13:19:593,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 18:32:37:541,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:23:27:591,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:16:10:106,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:50:562,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:20:40:437,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:20:36:200,James,normal,normal,"-"
