case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:10:272,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:54:33:837,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:43:39:229,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:24:04:886,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 19:43:08:801,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 20:28:19:030,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:00:05:537,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 21:49:02:763,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 22:35:02:537,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 23:17:20:933,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:20:272,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:41:25:765,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:40:07:503,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:16:08:851,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:03:55:466,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:52:39:177,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:51:12:026,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:30:272,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:59:51:204,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:51:45:134,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:38:32:416,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:57:14:136,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:44:11:462,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:22:42:097,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:44:37:369,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:29:50:835,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:11:09:170,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
