case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:08:888,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 18:13:27:910,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 19:03:43:441,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:34:56:678,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:19:58:159,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:14:59:078,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 22:12:18:602,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 23:03:55:404,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:57:48:085,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:35:05:798,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:18:888,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:42:04:880,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:38:54:700,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:21:56:467,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:15:25:996,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:08:41:103,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:06:43:656,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:28:888,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:00:49:416,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:55:39:163,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:26:00:976,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:41:07:632,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:34:21:980,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:33:54:103,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:18:47:390,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:10:30:241,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:45:54:140,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:15:38:888,Sherlene,normal,normal,"-"
