case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:06:356,normal,normal,-,"-"
1,2,Activity B,2020-06-27 17:32:36:166,normal,normal,-,"-"
1,3,Activity C,2020-06-27 18:17:45:439,normal,normal,-,"-"
1,4,Activity D,2020-06-27 19:08:03:889,normal,normal,-,"-"
1,5,Activity E,2020-06-27 19:42:40:009,normal,normal,-,"-"
1,6,Activity K,2020-06-27 20:37:49:125,normal,normal,-,"-"
1,7,Activity O,2020-06-27 21:08:15:933,normal,normal,-,"-"
1,8,Activity P,2020-06-27 22:07:12:635,normal,normal,-,"-"
1,9,Activity L,2020-06-27 23:06:22:618,normal,normal,-,"-"
1,10,Activity F,2020-06-27 23:57:15:350,normal,normal,-,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:16:356,normal,normal,-,"-"
2,2,Activity B,2020-06-27 17:35:57:253,normal,normal,-,"-"
2,3,Activity C,2020-06-27 18:27:31:259,normal,normal,-,"-"
2,4,Activity D,2020-06-27 19:09:13:321,normal,normal,-,"-"
2,5,Activity E,2020-06-27 19:34:44:733,normal,normal,-,"-"
2,6,Activity K,2020-06-27 20:22:16:396,normal,normal,-,"-"
2,7,Activity Q,2020-06-27 21:15:47:991,normal,normal,-,"-"
2,8,Activity L,2020-06-27 22:03:32:861,normal,normal,-,"-"
2,9,Activity F,2020-06-27 22:49:44:029,normal,normal,-,"-"
2,10,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:26:356,normal,normal,-,"-"
3,2,Activity B,2020-06-27 18:04:45:090,normal,normal,-,"-"
3,3,Activity C,2020-06-27 19:02:05:005,normal,normal,-,"-"
3,4,Activity D,2020-06-27 19:49:20:642,normal,normal,-,"-"
3,5,Activity E,2020-06-27 20:47:54:034,normal,normal,-,"-"
3,6,Activity G,2020-06-27 21:36:15:236,normal,normal,-,"-"
3,7,Activity H,2020-06-27 22:25:12:643,normal,normal,-,"-"
3,8,Activity I,2020-06-27 22:59:23:765,normal,normal,-,"-"
3,9,Activity J,2020-06-27 23:44:38:520,normal,normal,-,"-"
3,10,Activity F,2020-06-28 00:19:31:091,normal,normal,-,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
