case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:38:549,normal,normal,-,"-"
1,2,Activity B,2020-06-27 14:35:34:245,normal,normal,-,"-"
1,3,Activity C,2020-06-27 15:30:47:335,normal,normal,-,"-"
1,4,Activity D,2020-06-27 16:18:11:489,normal,normal,-,"-"
1,5,Activity E,2020-06-27 16:37:00:491,normal,normal,-,"-"
1,6,Activity K,2020-06-27 17:27:36:231,normal,normal,-,"-"
1,7,Activity O,2020-06-27 18:15:37:350,normal,normal,-,"-"
1,8,Activity P,2020-06-27 18:58:14:805,normal,normal,-,"-"
1,9,Activity L,2020-06-27 19:58:06:698,normal,normal,-,"-"
1,10,Activity F,2020-06-27 20:38:40:713,normal,normal,-,"-"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:48:549,normal,normal,-,"-"
2,2,Activity B,2020-06-27 14:16:21:016,normal,normal,-,"-"
2,3,Activity C,2020-06-27 15:03:35:905,normal,normal,-,"-"
2,4,Activity D,2020-06-27 15:36:46:381,normal,normal,-,"-"
2,5,Activity E,2020-06-27 16:34:12:846,normal,normal,-,"-"
2,6,Activity K,2020-06-27 17:28:30:256,normal,normal,-,"-"
2,7,Activity Q,2020-06-27 18:19:04:385,normal,normal,-,"-"
2,8,Activity L,2020-06-27 19:12:26:652,normal,normal,-,"-"
2,9,Activity F,2020-06-27 19:57:53:482,normal,normal,-,"-"
2,10,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:00:58:549,normal,normal,-,"-"
3,2,Activity B,2020-06-27 14:37:19:528,normal,normal,-,"-"
3,3,Activity C,2020-06-27 15:27:28:835,normal,normal,-,"-"
3,4,Activity D,2020-06-27 16:21:53:537,normal,normal,-,"-"
3,5,Activity E,2020-06-27 17:03:33:340,normal,normal,-,"-"
3,6,Activity G,2020-06-27 17:53:00:039,normal,normal,-,"-"
3,7,Activity H,2020-06-27 18:49:41:213,normal,normal,-,"-"
3,8,Activity I,2020-06-27 19:16:04:566,normal,normal,-,"-"
3,9,Activity J,2020-06-27 20:04:46:523,normal,normal,-,"-"
3,10,Activity F,2020-06-27 20:49:08:884,normal,normal,-,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:08:549,normal,normal,-,"-"
4,2,Activity B,2020-06-27 14:39:59:042,normal,normal,-,"-"
4,3,Activity C,2020-06-27 15:37:45:413,normal,normal,-,"-"
4,4,Activity D,2020-06-27 16:10:25:931,normal,normal,-,"-"
4,5,Activity E,2020-06-27 17:01:24:091,normal,normal,-,"-"
4,6,Activity T,2020-06-27 18:00:14:412,normal,normal,-,"-"
4,7,Activity F,2020-06-27 18:34:15:499,normal,normal,-,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:18:549,normal,normal,-,"-"
5,2,Activity B,2020-06-27 14:38:46:316,normal,normal,-,"-"
5,3,Activity C,2020-06-27 15:32:55:372,normal,normal,-,"-"
5,4,Activity D,2020-06-27 16:24:57:901,normal,normal,-,"-"
5,5,Activity E,2020-06-27 17:03:49:818,normal,normal,-,"-"
5,6,Activity G,2020-06-27 17:57:52:502,normal,normal,-,"-"
5,7,Activity H,2020-06-27 18:31:09:122,normal,normal,-,"-"
5,8,Activity I,2020-06-27 19:00:13:712,normal,normal,-,"-"
5,9,Activity J,2020-06-27 19:48:11:503,normal,normal,-,"-"
5,10,Activity F,2020-06-27 20:19:27:330,normal,normal,-,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:28:549,normal,normal,-,"-"
6,2,Activity B,2020-06-27 14:21:48:951,normal,normal,-,"-"
6,3,Activity C,2020-06-27 15:07:58:386,normal,normal,-,"-"
6,4,Activity D,2020-06-27 16:06:22:487,normal,normal,-,"-"
6,5,Activity E,2020-06-27 16:42:36:768,normal,normal,-,"-"
6,6,Activity G,2020-06-27 17:34:13:504,normal,normal,-,"-"
6,7,Activity H,2020-06-27 18:15:29:569,normal,normal,-,"-"
6,8,Activity I,2020-06-27 18:32:29:640,normal,normal,-,"-"
6,9,Activity J,2020-06-27 19:18:04:944,normal,normal,-,"-"
6,10,Activity F,2020-06-27 20:09:32:144,normal,normal,-,"-"
6,11,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:38:549,normal,normal,-,"-"
7,2,Activity B,2020-06-27 14:55:25:949,normal,normal,-,"-"
7,3,Activity C,2020-06-27 15:44:16:920,normal,normal,-,"-"
7,4,Activity D,2020-06-27 16:19:12:461,normal,normal,-,"-"
7,5,Activity E,2020-06-27 17:15:03:534,normal,normal,-,"-"
7,6,Activity T,2020-06-27 18:00:03:871,normal,normal,-,"-"
7,7,Activity F,2020-06-27 18:44:56:229,normal,normal,-,"-"
7,8,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:01:48:549,normal,normal,-,"-"
8,2,Activity B,2020-06-27 14:27:34:227,normal,normal,-,"-"
8,3,Activity C,2020-06-27 15:25:00:558,normal,normal,-,"-"
8,4,Activity D,2020-06-27 16:17:03:523,normal,normal,-,"-"
8,5,Activity E,2020-06-27 17:13:56:064,normal,normal,-,"-"
8,6,Activity T,2020-06-27 18:03:20:674,normal,normal,-,"-"
8,7,Activity F,2020-06-27 18:52:07:291,normal,normal,-,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:01:58:549,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,2,Activity E,2020-06-27 14:43:47:020,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,3,Activity B,2020-06-27 15:29:11:568,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,4,Activity C,2020-06-27 16:22:14:800,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,5,Activity D,2020-06-27 16:48:52:409,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,6,Activity T,2020-06-27 17:42:28:049,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,7,Activity F,2020-06-27 18:14:41:001,anomalous,normal,Early,"{'shift_from': 5, 'shift_to': 1, 'size': 1}"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:08:549,normal,normal,-,"-"
10,2,Activity B,2020-06-27 14:52:05:766,normal,normal,-,"-"
10,3,Activity C,2020-06-27 15:43:38:433,normal,normal,-,"-"
10,4,Activity D,2020-06-27 16:39:46:634,normal,normal,-,"-"
10,5,Activity E,2020-06-27 16:57:27:975,normal,normal,-,"-"
10,6,Activity G,2020-06-27 17:44:34:320,normal,normal,-,"-"
10,7,Activity H,2020-06-27 18:23:52:473,normal,normal,-,"-"
10,8,Activity I,2020-06-27 18:57:21:699,normal,normal,-,"-"
10,9,Activity J,2020-06-27 19:52:32:540,normal,normal,-,"-"
10,10,Activity F,2020-06-27 20:28:26:048,normal,normal,-,"-"
10,11,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:02:18:549,normal,normal,-,"-"
11,2,Activity B,2020-06-27 14:41:54:691,normal,normal,-,"-"
11,3,Activity C,2020-06-27 15:41:42:864,normal,normal,-,"-"
11,4,Activity D,2020-06-27 16:19:00:379,normal,normal,-,"-"
11,5,Activity E,2020-06-27 17:03:32:069,normal,normal,-,"-"
11,6,Activity G,2020-06-27 17:53:01:436,normal,normal,-,"-"
11,7,Activity H,2020-06-27 18:38:50:872,normal,normal,-,"-"
11,8,Activity I,2020-06-27 19:38:46:155,normal,normal,-,"-"
11,9,Activity J,2020-06-27 20:31:50:785,normal,normal,-,"-"
11,10,Activity F,2020-06-27 21:25:38:254,normal,normal,-,"-"
11,11,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:02:28:549,normal,normal,-,"-"
12,2,Activity B,2020-06-27 14:20:42:594,normal,normal,-,"-"
12,3,Activity C,2020-06-27 15:14:07:327,normal,normal,-,"-"
12,4,Activity D,2020-06-27 15:51:18:789,normal,normal,-,"-"
12,5,Activity E,2020-06-27 16:09:14:405,normal,normal,-,"-"
12,6,Activity T,2020-06-27 17:00:43:134,normal,normal,-,"-"
12,7,Activity F,2020-06-27 17:57:39:542,normal,normal,-,"-"
12,8,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:02:38:549,normal,normal,-,"-"
13,2,Activity B,2020-06-27 14:27:57:110,normal,normal,-,"-"
13,3,Activity C,2020-06-27 15:14:57:244,normal,normal,-,"-"
13,4,Activity D,2020-06-27 16:07:09:479,normal,normal,-,"-"
13,5,Activity E,2020-06-27 16:50:04:458,normal,normal,-,"-"
13,6,Activity G,2020-06-27 17:42:10:949,normal,normal,-,"-"
13,7,Activity H,2020-06-27 18:34:35:842,normal,normal,-,"-"
13,8,Activity I,2020-06-27 19:00:19:509,normal,normal,-,"-"
13,9,Activity J,2020-06-27 19:46:10:912,normal,normal,-,"-"
13,10,Activity F,2020-06-27 20:18:50:447,normal,normal,-,"-"
13,11,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:02:48:549,normal,normal,-,"-"
14,2,Activity B,2020-06-27 14:50:06:979,normal,normal,-,"-"
14,3,Activity C,2020-06-27 15:48:53:688,normal,normal,-,"-"
14,4,Activity D,2020-06-27 16:27:34:345,normal,normal,-,"-"
14,5,Activity E,2020-06-27 16:54:06:351,normal,normal,-,"-"
14,6,Activity K,2020-06-27 17:48:51:725,normal,normal,-,"-"
14,7,Activity O,2020-06-27 18:23:19:914,normal,normal,-,"-"
14,8,Activity P,2020-06-27 19:02:06:306,normal,normal,-,"-"
14,9,Activity L,2020-06-27 19:58:47:171,normal,normal,-,"-"
14,10,Activity F,2020-06-27 20:34:37:297,normal,normal,-,"-"
14,11,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:02:58:549,normal,normal,-,"-"
15,2,Activity B,2020-06-27 14:54:52:023,normal,normal,-,"-"
15,3,Activity C,2020-06-27 15:51:06:439,normal,normal,-,"-"
15,4,Activity D,2020-06-27 16:40:36:496,normal,normal,-,"-"
15,5,Activity E,2020-06-27 17:06:22:816,normal,normal,-,"-"
15,6,Activity T,2020-06-27 17:51:40:794,normal,normal,-,"-"
15,7,Activity F,2020-06-27 18:33:06:108,normal,normal,-,"-"
15,8,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:03:08:549,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 3, 'size': 1}"
16,2,Activity B,2020-06-27 14:33:56:753,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 3, 'size': 1}"
16,3,Activity C,2020-06-27 15:27:11:575,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 3, 'size': 1}"
16,4,Activity T,2020-06-27 16:26:54:972,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 3, 'size': 1}"
16,5,Activity D,2020-06-27 17:08:16:914,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 3, 'size': 1}"
