case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:06:980,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:59:25:888,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:50:05:872,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:31:17:054,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:22:54:540,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:12:30:640,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:16:980,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:34:50:396,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:25:07:580,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:21:14:600,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 19:42:02:745,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:37:24:559,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:29:26:129,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:26:980,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 18:02:24:002,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:59:35:991,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:50:36:107,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:45:51:875,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:31:26:289,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:36:980,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:59:08:566,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:44:53:418,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:35:15:421,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:14:32:503,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 21:07:57:557,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:44:37:920,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:46:980,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:29:59:407,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:17:00:332,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:01:02:644,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:22:46:439,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:11:47:516,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:56:980,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:22:53:763,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:11:02:933,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 18:58:59:614,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 19:42:30:296,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:31:30:260,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:06:980,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:46:22:364,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:34:04:163,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:04:06:791,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:46:09:343,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:35:28:441,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:16:980,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:33:27:912,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:27:50:520,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:04:11:573,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 19:48:29:956,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:37:31:382,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:26:980,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:40:28:395,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:28:38:304,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:05:22:847,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 19:46:13:421,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:43:39:658,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:36:980,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:44:29:037,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:31:21:637,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:14:33:591,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:56:51:846,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:56:34:082,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:35:41:849,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:46:980,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:42:01:479,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:38:05:953,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:29:49:474,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 19:54:49:484,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:47:54:984,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:45:20:658,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
