case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:40:874,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:56:23:781,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:52:25:448,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:27:19:484,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:43:45:292,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:30:40:199,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:50:874,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:21:32:708,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:13:17:526,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:03:25:842,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 16:38:16:871,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:30:20:066,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:05:05:124,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:01:00:874,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:31:52:243,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:26:16:165,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:14:08:340,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:55:03:334,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:49:21:151,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:10:874,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:59:33:157,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:49:36:944,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:35:48:685,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:00:48:992,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:55:31:929,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:42:32:219,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:20:874,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:35:39:900,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:31:51:032,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:05:20:691,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:55:47:535,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:41:16:727,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:30:874,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:55:27:063,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:55:01:423,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:25:35:374,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 16:41:35:714,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:32:56:025,Gema,normal,normal,"-"
