case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:21:895,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:22:15:239,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:16:53:081,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:55:00:762,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:25:17:194,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:11:52:754,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:31:895,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:48:09:707,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:46:37:826,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:23:28:752,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:02:53:216,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:57:10:328,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:35:21:551,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:41:895,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:30:08:044,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:25:05:194,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 17:01:48:617,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:51:14:345,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:42:33:981,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:51:895,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:23:45:884,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:19:16:721,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:07:01:694,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:42:51:071,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:37:41:404,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:32:28:700,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:01:895,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:21:53:467,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:18:32:994,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:14:53:898,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 18:03:08:482,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 19:02:55:033,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:11:895,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:20:29:702,Roy,normal,normal,"-"
