case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:50:339,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:17:15:520,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:15:17:822,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:06:56:916,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:27:38:410,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:13:21:283,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:01:00:339,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:27:56:056,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:21:56:261,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:09:55:837,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:08:37:642,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:07:08:097,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:50:51:284,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:01:10:339,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:25:56:075,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:20:02:356,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 15:53:24:740,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:16:37:599,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:15:53:604,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:20:339,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:37:38:627,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:24:04:388,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:05:45:537,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:37:14:285,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:29:02:978,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:16:09:659,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:30:339,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:59:36:336,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:47:30:045,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:33:47:743,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:59:08:704,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:59:04:824,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:40:339,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:22:01:557,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:19:43:551,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 15:55:46:194,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 16:39:01:724,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:25:08:606,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:01:50:339,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:22:31:581,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:16:33:020,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:01:33:264,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 16:24:07:993,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 17:17:50:786,Grayce,normal,normal,"-"
7,7,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:02:00:339,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:47:51:444,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:38:17:420,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:27:19:010,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 16:54:06:613,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 17:41:55:993,Deloras,normal,normal,"-"
8,7,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:02:10:339,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:54:22:476,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:45:01:125,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:43:47:690,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:38:00:382,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:27:35:934,Deloras,normal,normal,"-"
9,7,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:02:20:339,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 14:30:53:550,Doretta,normal,normal,"-"
