case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:18:804,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:09:03:184,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:03:02:092,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:57:39:248,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:18:40:448,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:13:50:080,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:28:804,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:23:25:229,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:20:36:312,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 17:01:00:572,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:39:37:945,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:28:52:307,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:02:05:078,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:38:804,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:53:20:844,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:41:32:917,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:34:04:397,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:06:37:755,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:01:17:011,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:48:804,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:01:06:824,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:55:29:455,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:39:47:400,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:22:47:957,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:13:34:287,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:56:31:727,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:58:804,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:20:46:253,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:08:11:612,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:02:01:750,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:27:39:454,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:13:45:276,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:08:804,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:12:54:185,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:01:03:148,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:34:12:956,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:17:12:494,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:15:33:017,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:18:804,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:54:15:588,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:42:39:476,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:13:58:422,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 16:43:16:988,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 17:40:57:531,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:28:804,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:00:56:531,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:58:13:623,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:50:18:167,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:17:19:661,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:13:51:546,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:38:804,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:16:27:382,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 16:04:38:310,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:47:42:581,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:33:20:475,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:27:02:969,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:48:804,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:29:00:593,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:28:36:325,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 17:22:31:335,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 18:12:33:883,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 19:07:07:277,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 19:52:08:527,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:33:58:804,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:01:34:715,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:48:55:574,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:35:37:276,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 16:53:51:826,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 17:48:07:319,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 18:28:46:280,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:08:804,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 14:56:18:354,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 15:48:13:101,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:25:19:743,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 16:41:45:911,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 17:36:05:674,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:18:804,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:21:47:737,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 16:18:02:007,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 17:08:56:336,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:55:25:042,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 18:41:05:880,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:28:804,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 15:12:50:343,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 16:10:30:414,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 17:03:41:559,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 17:19:17:238,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 18:18:08:161,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:38:804,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 15:08:57:546,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 16:06:33:950,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 16:53:22:722,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 17:15:44:947,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 18:13:47:419,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 18:51:32:752,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:34:48:804,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 15:32:06:632,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 16:23:23:343,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 17:16:53:056,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 17:35:29:535,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 18:21:14:417,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:34:58:804,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 15:12:13:919,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 16:11:47:141,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 17:03:28:936,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 17:27:44:750,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 18:15:19:868,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:35:08:804,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 15:26:12:209,Hoyt,normal,normal,"-"
18,3,Activity R,2020-06-27 16:13:07:290,Carmella,normal,normal,"-"
18,4,Activity T,2020-06-27 16:48:10:885,Iluminada,normal,normal,"-"
18,5,Activity S,2020-06-27 17:10:17:597,Sandra,normal,normal,"-"
18,6,Activity O,2020-06-27 18:07:18:532,Shandi,normal,normal,"-"
18,7,Activity B,2020-06-27 18:55:31:341,Grayce,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:35:18:804,Della,normal,normal,"-"
19,2,Activity N,2020-06-27 14:54:53:784,Roy,normal,normal,"-"
19,3,Activity AE,2020-06-27 15:52:23:642,Hoyt,normal,normal,"-"
19,4,Activity AF,2020-06-27 16:36:26:184,Rossie,normal,normal,"-"
19,5,Activity O,2020-06-27 16:54:19:264,Junior,normal,normal,"-"
19,6,Activity B,2020-06-27 17:49:38:441,Grayce,normal,normal,"-"
19,7,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:35:28:804,Della,normal,anomalous,"{'indices': [3, 6]}"
20,2,Activity N,2020-06-27 15:29:54:957,Doretta,normal,anomalous,"{'indices': [3, 6]}"
20,3,Activity R,2020-06-27 16:16:34:604,Carmella,normal,anomalous,"{'indices': [3, 6]}"
20,4,Random activity 21,2020-06-27 16:57:59:724,Random user 1,normal,anomalous,"{'indices': [3, 6]}"
20,5,Activity T,2020-06-27 17:28:49:335,Iluminada,normal,anomalous,"{'indices': [3, 6]}"
20,6,Activity S,2020-06-27 18:25:04:982,Sandra,normal,anomalous,"{'indices': [3, 6]}"
20,7,Random activity 14,2020-06-27 19:18:40:338,Random user 46,normal,anomalous,"{'indices': [3, 6]}"
20,8,Activity O,2020-06-27 19:45:21:957,Keven,normal,anomalous,"{'indices': [3, 6]}"
20,9,Activity B,2020-06-27 20:39:13:577,Deloras,normal,anomalous,"{'indices': [3, 6]}"
20,10,■,,,,,""
