case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:06:788,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:46:02:519,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:33:44:065,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:26:38:845,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:51:52:971,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:42:24:043,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:16:788,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:46:40:092,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:35:17:314,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:30:18:719,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:24:32:122,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:16:45:775,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:52:46:745,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:26:788,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:43:55:303,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:39:14:771,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:30:13:969,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:56:20:860,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:49:02:108,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:36:788,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:50:23:347,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:39:15:495,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:17:34:474,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:59:41:116,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:50:39:906,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:41:43:041,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:46:788,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:27:57:491,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:21:21:978,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:01:04:981,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:54:04:783,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:43:14:412,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:56:788,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:59:21:479,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:47:29:426,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:18:47:168,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:17:27:798,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:12:42:390,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:06:788,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:35:32:093,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:33:52:782,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:23:20:189,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:55:28:902,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:44:09:052,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:04:16:788,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:34:56:442,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:24:24:662,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:17:18:955,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:02:45:191,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 21:01:58:937,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:04:26:788,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 18:00:46:854,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:58:49:334,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:41:32:921,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 19:58:17:773,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:49:42:204,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:04:36:788,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 18:03:35:001,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:51:31:128,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:35:40:184,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:59:25:366,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:50:35:601,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:46:39:708,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:04:46:788,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:25:19:741,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:12:46:191,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:10:02:209,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 19:31:53:175,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:18:44:504,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:11:57:410,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:04:56:788,Della,normal,normal,"-"
