case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:20:021,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:31:29:016,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:26:24:100,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 17:10:50:932,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 18:03:58:734,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:49:05:254,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:30:021,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:27:11:053,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:18:53:352,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:56:13:708,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:15:02:522,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:01:52:132,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:00:46:643,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:40:021,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:16:46:986,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:01:47:405,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:57:29:481,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:28:09:891,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:23:48:799,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:50:021,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:50:45:788,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:45:04:416,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:40:16:283,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:05:39:694,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:02:47:116,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:55:42:004,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:33:00:021,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:58:27:237,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:51:06:279,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:48:51:892,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:08:49:306,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:04:34:492,Deloras,normal,normal,"-"
