case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:03:08:783,normal,normal,-,"-"
1,2,Activity C,2020-06-27 17:34:08:638,normal,normal,-,"-"
1,3,Activity K,2020-06-27 18:32:12:273,normal,normal,-,"-"
1,4,Activity D,2020-06-27 19:15:48:931,normal,normal,-,"-"
1,5,Activity B,2020-06-27 19:31:50:478,normal,normal,-,"-"
1,6,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:03:18:783,normal,normal,-,"-"
2,2,Activity N,2020-06-27 17:25:41:975,normal,normal,-,"-"
2,3,Activity AE,2020-06-27 18:19:39:704,normal,normal,-,"-"
2,4,Activity AF,2020-06-27 19:07:07:961,normal,normal,-,"-"
2,5,Activity O,2020-06-27 19:27:53:635,normal,normal,-,"-"
2,6,Activity B,2020-06-27 20:26:29:396,normal,normal,-,"-"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:03:28:783,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,2,Activity C,2020-06-27 17:52:07:986,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,3,Activity D,2020-06-27 18:49:35:380,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,4,Activity E,2020-06-27 19:38:41:470,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,5,Activity H,2020-06-27 20:12:44:936,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,6,Activity F,2020-06-27 21:05:23:116,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,7,Activity B,2020-06-27 21:45:40:403,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,8,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:03:38:783,normal,normal,-,"-"
4,2,Activity C,2020-06-27 17:53:03:609,normal,normal,-,"-"
4,3,Activity K,2020-06-27 18:51:05:184,normal,normal,-,"-"
4,4,Activity D,2020-06-27 19:31:09:092,normal,normal,-,"-"
4,5,Activity B,2020-06-27 19:59:34:692,normal,normal,-,"-"
4,6,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:03:48:783,normal,normal,-,"-"
5,2,Activity C,2020-06-27 17:34:57:970,normal,normal,-,"-"
5,3,Activity K,2020-06-27 18:20:09:272,normal,normal,-,"-"
5,4,Activity D,2020-06-27 19:14:42:104,normal,normal,-,"-"
5,5,Activity B,2020-06-27 19:54:32:355,normal,normal,-,"-"
5,6,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:03:58:783,normal,normal,-,"-"
6,2,Activity C,2020-06-27 17:26:50:443,normal,normal,-,"-"
6,3,Activity K,2020-06-27 18:20:36:605,normal,normal,-,"-"
6,4,Activity D,2020-06-27 19:10:53:998,normal,normal,-,"-"
6,5,Activity B,2020-06-27 20:07:02:478,normal,normal,-,"-"
6,6,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:04:08:783,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,2,Activity N,2020-06-27 17:28:26:803,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,3,Activity AG,2020-06-27 18:21:06:080,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,4,Activity AH,2020-06-27 19:09:32:165,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
