case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:32:19:300,normal,normal,-,"-"
1,2,Activity C,2020-06-27 15:31:37:948,normal,normal,-,"-"
1,3,Activity K,2020-06-27 16:25:55:753,normal,normal,-,"-"
1,4,Activity D,2020-06-27 17:23:58:451,normal,normal,-,"-"
1,5,Activity B,2020-06-27 17:57:46:617,normal,normal,-,"-"
1,6,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:32:29:300,normal,normal,-,"-"
2,2,Activity N,2020-06-27 15:24:33:495,normal,normal,-,"-"
2,3,Activity AE,2020-06-27 16:16:31:700,normal,normal,-,"-"
2,4,Activity AF,2020-06-27 17:13:08:823,normal,normal,-,"-"
2,5,Activity O,2020-06-27 17:28:47:247,normal,normal,-,"-"
2,6,Activity B,2020-06-27 18:15:38:773,normal,normal,-,"-"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:32:39:300,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,2,Activity C,2020-06-27 15:13:03:272,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,3,Activity D,2020-06-27 16:02:49:430,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,4,Activity E,2020-06-27 16:36:58:436,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,5,Activity H,2020-06-27 16:57:30:559,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,6,Activity F,2020-06-27 17:47:11:568,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,7,Activity B,2020-06-27 18:37:25:674,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,8,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:32:49:300,normal,normal,-,"-"
4,2,Activity C,2020-06-27 15:24:43:077,normal,normal,-,"-"
4,3,Activity K,2020-06-27 16:21:30:977,normal,normal,-,"-"
4,4,Activity D,2020-06-27 17:05:25:232,normal,normal,-,"-"
4,5,Activity B,2020-06-27 17:39:17:715,normal,normal,-,"-"
4,6,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:32:59:300,normal,normal,-,"-"
5,2,Activity C,2020-06-27 15:29:18:293,normal,normal,-,"-"
5,3,Activity K,2020-06-27 16:23:57:390,normal,normal,-,"-"
5,4,Activity D,2020-06-27 17:05:55:774,normal,normal,-,"-"
5,5,Activity B,2020-06-27 17:54:18:074,normal,normal,-,"-"
5,6,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:09:300,normal,normal,-,"-"
6,2,Activity C,2020-06-27 15:07:06:219,normal,normal,-,"-"
6,3,Activity K,2020-06-27 15:57:53:064,normal,normal,-,"-"
6,4,Activity D,2020-06-27 16:43:53:529,normal,normal,-,"-"
6,5,Activity B,2020-06-27 17:39:23:436,normal,normal,-,"-"
6,6,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:19:300,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,2,Activity N,2020-06-27 15:03:48:985,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,3,Activity AG,2020-06-27 15:57:12:137,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,4,Activity AH,2020-06-27 16:46:03:112,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,5,Activity A,2020-06-27 17:44:24:246,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,6,Activity N,2020-06-27 18:29:32:292,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,7,Activity O,2020-06-27 19:09:32:495,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,8,Activity B,2020-06-27 19:48:08:856,anomalous,normal,Rework,"{'size': 2, 'start': 4, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity N', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:29:300,normal,normal,-,"-"
8,2,Activity N,2020-06-27 15:26:04:052,normal,normal,-,"-"
8,3,Activity Y,2020-06-27 16:24:14:307,normal,normal,-,"-"
8,4,Activity AB,2020-06-27 17:22:33:170,normal,normal,-,"-"
8,5,Activity Z,2020-06-27 18:22:21:811,normal,normal,-,"-"
8,6,Activity O,2020-06-27 19:17:28:986,normal,normal,-,"-"
8,7,Activity B,2020-06-27 20:17:21:777,normal,normal,-,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:39:300,normal,normal,-,"-"
9,2,Activity C,2020-06-27 14:58:00:697,normal,normal,-,"-"
9,3,Activity K,2020-06-27 15:46:18:033,normal,normal,-,"-"
9,4,Activity D,2020-06-27 16:17:11:531,normal,normal,-,"-"
9,5,Activity B,2020-06-27 17:11:03:816,normal,normal,-,"-"
9,6,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:49:300,normal,normal,-,"-"
10,2,Activity N,2020-06-27 15:06:10:355,normal,normal,-,"-"
10,3,Activity AG,2020-06-27 15:58:07:855,normal,normal,-,"-"
10,4,Activity AH,2020-06-27 16:56:16:056,normal,normal,-,"-"
10,5,Activity O,2020-06-27 17:40:40:249,normal,normal,-,"-"
10,6,Activity B,2020-06-27 18:36:18:561,normal,normal,-,"-"
10,7,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:33:59:300,normal,normal,-,"-"
11,2,Activity N,2020-06-27 15:02:07:066,normal,normal,-,"-"
11,3,Activity R,2020-06-27 15:50:01:359,normal,normal,-,"-"
11,4,Activity T,2020-06-27 16:43:48:555,normal,normal,-,"-"
11,5,Activity S,2020-06-27 17:11:51:462,normal,normal,-,"-"
11,6,Activity O,2020-06-27 17:59:46:950,normal,normal,-,"-"
11,7,Activity B,2020-06-27 18:43:36:063,normal,normal,-,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:09:300,normal,normal,-,"-"
12,2,Activity N,2020-06-27 14:56:41:869,normal,normal,-,"-"
12,3,Activity P,2020-06-27 15:51:25:767,normal,normal,-,"-"
12,4,Activity Q,2020-06-27 16:39:59:668,normal,normal,-,"-"
12,5,Activity O,2020-06-27 17:00:15:351,normal,normal,-,"-"
12,6,Activity B,2020-06-27 17:51:48:366,normal,normal,-,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:19:300,normal,normal,-,"-"
13,2,Activity N,2020-06-27 15:29:24:240,normal,normal,-,"-"
13,3,Activity AE,2020-06-27 16:19:42:207,normal,normal,-,"-"
13,4,Activity AF,2020-06-27 17:13:00:167,normal,normal,-,"-"
13,5,Activity O,2020-06-27 17:28:26:386,normal,normal,-,"-"
13,6,Activity B,2020-06-27 18:20:02:556,normal,normal,-,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:29:300,normal,normal,-,"-"
14,2,Activity N,2020-06-27 15:03:49:651,normal,normal,-,"-"
14,3,Activity AE,2020-06-27 15:56:48:210,normal,normal,-,"-"
14,4,Activity AF,2020-06-27 16:41:13:595,normal,normal,-,"-"
14,5,Activity O,2020-06-27 17:14:26:804,normal,normal,-,"-"
14,6,Activity B,2020-06-27 18:01:35:641,normal,normal,-,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:39:300,normal,normal,-,"-"
15,2,Activity N,2020-06-27 14:51:43:235,normal,normal,-,"-"
