case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:00:44:363,normal,normal,-,"-"
1,2,Activity C,2020-06-27 14:49:47:937,normal,normal,-,"-"
1,3,Activity K,2020-06-27 15:45:18:970,normal,normal,-,"-"
1,4,Activity D,2020-06-27 16:33:52:114,normal,normal,-,"-"
1,5,Activity B,2020-06-27 17:01:22:161,normal,normal,-,"-"
1,6,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:00:54:363,normal,normal,-,"-"
2,2,Activity N,2020-06-27 14:23:14:201,normal,normal,-,"-"
2,3,Activity AE,2020-06-27 15:16:49:399,normal,normal,-,"-"
2,4,Activity AF,2020-06-27 15:54:54:055,normal,normal,-,"-"
2,5,Activity O,2020-06-27 16:12:31:454,normal,normal,-,"-"
2,6,Activity B,2020-06-27 17:07:30:847,normal,normal,-,"-"
2,7,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:01:04:363,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,2,Activity C,2020-06-27 14:42:12:155,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,3,Activity D,2020-06-27 15:28:01:087,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,4,Activity E,2020-06-27 16:11:14:043,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,5,Activity H,2020-06-27 16:29:37:931,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,6,Activity F,2020-06-27 17:18:26:077,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,7,Activity B,2020-06-27 18:05:50:872,anomalous,normal,Early,"{'shift_from': 6, 'shift_to': 2, 'size': 1}"
3,8,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:01:14:363,normal,normal,-,"-"
4,2,Activity C,2020-06-27 14:20:23:482,normal,normal,-,"-"
4,3,Activity K,2020-06-27 15:07:52:127,normal,normal,-,"-"
4,4,Activity D,2020-06-27 16:03:18:702,normal,normal,-,"-"
4,5,Activity B,2020-06-27 16:38:49:129,normal,normal,-,"-"
4,6,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:01:24:363,normal,normal,-,"-"
5,2,Activity C,2020-06-27 14:23:59:394,normal,normal,-,"-"
5,3,Activity K,2020-06-27 15:22:30:192,normal,normal,-,"-"
5,4,Activity D,2020-06-27 16:00:47:338,normal,normal,-,"-"
5,5,Activity B,2020-06-27 16:53:07:894,normal,normal,-,"-"
5,6,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:01:34:363,normal,normal,-,"-"
6,2,Activity C,2020-06-27 14:41:14:529,normal,normal,-,"-"
6,3,Activity K,2020-06-27 15:32:53:863,normal,normal,-,"-"
6,4,Activity D,2020-06-27 16:02:54:450,normal,normal,-,"-"
6,5,Activity B,2020-06-27 16:42:38:265,normal,normal,-,"-"
6,6,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
