case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:27:074,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:23:14:640,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:12:01:473,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 18:52:20:117,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:45:16:334,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:32:52:761,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:21:11:984,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:37:074,Joe,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,2,Activity BC,2020-06-27 18:04:35:215,Paul,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,3,Activity B,2020-06-27 19:02:13:153,Michaele,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:47:074,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:47:47:978,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:33:55:279,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:57:074,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:52:35:609,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:43:18:921,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:07:074,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:24:27:043,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:23:56:063,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:17:074,Joe,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,2,Activity BC,2020-06-27 17:41:13:631,Micheline,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,3,Activity B,2020-06-27 18:38:01:524,Frances,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:27:074,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:23:15:893,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:12:57:966,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:37:074,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:23:37:262,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:15:15:271,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 18:47:12:850,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:29:19:170,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:15:30:958,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 20:45:54:039,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:47:074,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:57:21:846,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:44:11:066,Lucy,normal,normal,"-"
