case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:48:118,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:26:29:188,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:25:42:677,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:12:16:925,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:54:33:580,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:53:30:902,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:29:00:972,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:58:118,Joe,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,2,Activity BC,2020-06-27 14:57:07:920,Paul,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,3,Activity B,2020-06-27 15:56:32:145,Michaele,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:08:118,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:32:41:740,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:22:16:931,Steve,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:18:118,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:50:52:174,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:47:29:394,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:28:118,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:49:44:534,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:40:00:915,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:38:118,Joe,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,2,Activity BC,2020-06-27 15:05:59:403,Micheline,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,3,Activity B,2020-06-27 16:03:08:048,Frances,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Tiffiny']}"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:48:118,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:57:01:943,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:44:35:197,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:58:118,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 14:26:45:452,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:17:17:503,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:01:33:583,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 16:33:10:181,James,normal,normal,"-"
8,6,Activity S,2020-06-27 17:21:42:934,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 18:03:14:493,Tiffiny,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:08:08:118,Micheline,normal,normal,"-"
