case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:44:438,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:26:40:117,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:16:04:062,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:08:27:584,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:34:48:138,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:23:51:615,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:04:35:604,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity BC,2020-06-27 14:06:54:438,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 14:58:32:592,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 15:51:31:347,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity BZ,2020-06-27 14:07:04:438,Frances,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,2,Activity A,2020-06-27 14:34:03:334,Sharee,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,3,Activity B,2020-06-27 15:19:16:352,Steve,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:14:438,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:41:00:581,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:29:10:412,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:24:438,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:57:51:624,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:50:36:723,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:34:438,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:26:46:193,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:22:24:857,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:44:438,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:29:28:659,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:18:37:337,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:54:438,Amanda,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,2,Activity E,2020-06-27 14:58:32:606,Donald,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,3,Activity C,2020-06-27 15:47:18:765,Lisa,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,4,Activity F,2020-06-27 16:42:09:597,Keven,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,5,Activity D,2020-06-27 17:31:22:267,James,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,6,Activity S,2020-06-27 18:28:59:283,Hoyt,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,7,Activity B,2020-06-27 19:06:42:681,Tiffiny,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:08:04:438,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 14:34:46:107,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:34:39:784,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:24:50:877,Amanda,normal,normal,"-"
