case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:11:919,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:01:56:116,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:54:23:711,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:34:06:495,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:16:48:061,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:14:35:573,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:54:20:540,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Random activity 66,2020-06-27 14:35:21:919,Random user 50,normal,anomalous,"-"
2,2,Activity A,2020-06-27 15:20:56:100,Joe,normal,anomalous,"-"
2,3,Activity BC,2020-06-27 16:08:48:953,Micheline,normal,anomalous,"-"
2,4,Activity B,2020-06-27 16:53:18:785,Deloras,normal,anomalous,"-"
2,5,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:31:919,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:57:36:901,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:45:16:832,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:41:919,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:53:04:770,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:51:47:139,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:51:919,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:27:39:729,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:17:14:640,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:01:919,Joe,normal,anomalous,"-"
6,2,Random activity 42,2020-06-27 15:05:47:442,Random user 17,normal,anomalous,"-"
6,3,Activity BC,2020-06-27 15:54:15:432,Micheline,normal,anomalous,"-"
6,4,Activity B,2020-06-27 16:46:32:796,Tiffiny,normal,anomalous,"-"
6,5,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:11:919,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:51:38:278,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:43:13:526,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:21:919,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 15:01:38:946,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:49:38:370,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:47:42:579,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:13:06:284,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:04:49:057,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 18:40:31:487,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:31:919,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:02:34:102,Steve,normal,normal,"-"
