case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:14:898,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:27:37:768,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:13:53:471,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:51:07:683,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:23:07:686,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:21:54:071,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:10:39:159,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 14:35:24:898,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 14:58:03:339,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 15:56:21:706,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:34:898,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:19:48:444,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:12:47:376,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:44:898,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:05:13:549,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 16:01:21:335,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:54:898,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:34:50:232,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:27:05:856,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:04:898,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:53:58:387,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:52:12:761,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:14:898,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:05:48:402,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:57:16:058,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:24:898,Amanda,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,2,Activity C,2020-06-27 15:00:35:872,Lisa,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,3,Activity E,2020-06-27 15:59:46:145,Donald,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,4,Activity F,2020-06-27 16:30:20:145,Grayce,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,5,Activity D,2020-06-27 17:13:37:420,Rossana,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,6,Activity S,2020-06-27 18:00:52:160,Hoyt,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,7,Activity B,2020-06-27 18:31:07:773,Tiffiny,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:34:898,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 14:58:09:641,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:50:15:884,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:46:51:995,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:24:01:464,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:10:02:104,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:53:55:020,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:44:898,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:20:10:735,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 16:18:46:995,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 17:04:55:292,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:39:06:615,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:34:11:119,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 19:08:26:024,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:44:24:441,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:54:898,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:21:26:929,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:10:33:080,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:47:46:571,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:33:24:862,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:30:27:941,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 19:29:46:235,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:58:11:460,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:37:04:898,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 15:23:20:410,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 16:09:25:007,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:37:14:898,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 14:59:59:442,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 15:55:51:794,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:37:24:898,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 14:57:20:016,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 15:47:55:496,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 16:18:25:012,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 16:52:58:922,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 17:39:34:236,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 18:23:03:120,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 18:47:39:913,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:37:34:898,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 14:53:12:531,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 15:38:52:562,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:37:44:898,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 15:17:43:640,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 16:06:11:534,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 16:43:06:503,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 17:11:56:164,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 18:05:04:565,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 18:48:55:320,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 19:47:24:338,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:37:54:898,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 15:29:05:858,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 16:26:04:282,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 17:00:39:676,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 17:42:10:353,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 18:36:06:649,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 19:28:23:612,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 20:12:40:452,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:38:04:898,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 15:14:31:122,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 16:00:02:967,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 16:42:51:809,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 17:39:27:223,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 18:29:18:108,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 19:07:31:929,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 19:29:58:354,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:38:14:898,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 15:10:02:297,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 16:07:24:564,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 16:45:34:339,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 17:43:00:564,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 18:39:34:550,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 19:27:31:907,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 20:08:40:075,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-27 20:58:20:524,Joe,normal,normal,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:38:24:898,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 15:27:29:736,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 16:22:14:749,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:38:34:898,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 15:37:31:326,Jack,normal,normal,"-"
21,3,Activity AN,2020-06-27 16:24:12:794,Brian,normal,normal,"-"
21,4,Activity AP,2020-06-27 16:58:58:811,Tiffiny,normal,normal,"-"
21,5,Activity AO,2020-06-27 17:23:21:513,Iluminada,normal,normal,"-"
21,6,Activity U,2020-06-27 18:16:20:583,Hoyt,normal,normal,"-"
21,7,Activity B,2020-06-27 18:55:49:702,Rossie,normal,normal,"-"
21,8,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:38:44:898,Joe,normal,normal,"-"
22,2,Activity BC,2020-06-27 15:08:15:758,Micheline,normal,normal,"-"
22,3,Activity B,2020-06-27 15:57:06:153,Tiffiny,normal,normal,"-"
22,4,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:38:54:898,Micheline,normal,normal,"-"
23,2,Activity T,2020-06-27 15:33:23:494,Grayce,normal,normal,"-"
23,3,Activity AC,2020-06-27 16:21:47:268,Ling,normal,normal,"-"
23,4,Activity AE,2020-06-27 17:10:05:700,Amanda,normal,normal,"-"
23,5,Activity AD,2020-06-27 17:43:39:138,Howard,normal,normal,"-"
23,6,Activity U,2020-06-27 18:34:29:637,Rossie,normal,normal,"-"
23,7,Activity B,2020-06-27 19:12:56:299,Joe,normal,normal,"-"
23,8,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:39:04:898,Micheline,normal,normal,"-"
24,2,Activity T,2020-06-27 15:23:32:461,Jack,normal,normal,"-"
24,3,Activity AN,2020-06-27 16:10:43:690,Micheline,normal,normal,"-"
24,4,Activity AP,2020-06-27 16:58:28:457,Tiffiny,normal,normal,"-"
24,5,Activity AO,2020-06-27 17:33:36:388,Iluminada,normal,normal,"-"
24,6,Activity U,2020-06-27 18:32:28:406,Lisa,normal,normal,"-"
24,7,Activity B,2020-06-27 19:30:40:516,Lucy,normal,normal,"-"
24,8,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:39:14:898,Carmella,normal,normal,"-"
25,2,Activity BC,2020-06-27 15:28:48:269,Micheline,normal,normal,"-"
25,3,Activity B,2020-06-27 16:24:11:349,Tiffiny,normal,normal,"-"
25,4,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 14:39:24:898,Joe,normal,normal,"-"
26,2,Activity BC,2020-06-27 15:24:35:889,Micheline,normal,normal,"-"
26,3,Activity B,2020-06-27 16:12:13:933,Tiffiny,normal,normal,"-"
