case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:29:347,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:50:31:825,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:47:05:877,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:42:34:511,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 19:58:02:827,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:44:14:874,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:43:58:798,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 21:59:42:265,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity N,2020-06-27 17:06:39:347,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,2,Activity M,2020-06-27 17:44:56:487,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,3,Activity R,2020-06-27 18:41:11:977,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,4,Activity AC,2020-06-27 19:23:20:258,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,5,Activity A,2020-06-27 20:00:24:342,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,6,Activity L,2020-06-27 21:00:03:781,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,7,Activity AH,2020-06-27 21:56:07:955,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,8,Activity AD,2020-06-27 22:20:34:319,Craig,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,9,Activity S,2020-06-27 23:18:49:196,Lannie,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,10,Activity B,2020-06-28 00:08:48:729,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:49:347,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:33:10:163,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:27:39:078,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:21:16:684,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:43:43:512,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:43:23:276,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:39:30:828,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:28:02:951,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:59:347,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:32:00:418,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:26:11:425,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:04:29:319,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 19:42:06:630,James,normal,normal,"-"
4,6,Activity F,2020-06-27 20:30:24:366,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:04:45:001,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:02:18:062,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 22:56:43:272,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:09:347,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 17:41:17:104,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 18:36:38:527,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:23:00:038,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 20:06:39:058,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 21:00:31:759,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:35:56:700,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 22:14:08:128,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 23:12:44:522,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 23:51:26:848,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:19:347,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:59:25:091,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:55:03:270,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 19:48:34:809,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 20:36:20:959,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 21:33:55:771,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 22:23:13:094,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 23:18:52:627,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-28 00:15:28:669,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:29:347,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 18:03:22:371,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 19:00:19:855,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 19:58:26:942,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 20:48:12:839,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 21:38:15:468,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 22:21:36:766,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 22:40:26:823,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:39:347,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 17:52:51:586,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 18:48:30:031,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 19:46:57:935,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 20:45:06:230,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 21:43:51:235,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 22:19:53:260,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 23:16:44:939,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-28 00:15:19:803,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:49:347,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 17:36:06:390,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 18:21:53:220,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 19:03:56:023,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 19:23:20:400,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 20:16:32:840,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 20:55:59:098,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 21:11:38:578,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:59:347,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 17:46:13:654,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 18:39:14:472,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 19:34:34:662,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 19:54:51:715,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 20:45:42:378,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 21:16:43:179,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 22:14:20:110,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 23:03:19:205,Ling,normal,normal,"-"
10,10,Activity S,2020-06-28 00:01:46:206,Jack,normal,normal,"-"
10,11,Activity B,2020-06-28 00:57:54:069,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:09:347,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 17:50:38:360,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 18:47:56:643,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 19:37:10:494,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 20:29:40:041,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 21:24:08:777,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 21:54:44:128,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 22:25:34:870,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:19:347,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 18:01:03:435,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 18:54:18:244,Chan,normal,normal,"-"
