case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:21:767,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:49:15:990,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:44:16:477,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:27:29:873,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 20:09:57:576,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:55:49:094,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:45:18:188,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 22:29:57:513,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:31:767,Micheline,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,2,Activity L,2020-06-27 17:23:20:130,Howard,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,3,Activity N,2020-06-27 18:13:07:438,Issac,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,4,Activity M,2020-06-27 19:05:10:088,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,5,Activity R,2020-06-27 19:32:18:219,Brant,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,6,Activity AC,2020-06-27 20:30:08:552,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,7,Activity M,2020-06-27 21:20:09:911,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,8,Activity R,2020-06-27 21:54:33:990,Brant,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,9,Activity AC,2020-06-27 22:45:06:938,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,10,Activity AH,2020-06-27 23:27:16:447,Howard,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,11,Activity AD,2020-06-27 23:54:54:604,Craig,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,12,Activity S,2020-06-28 00:47:16:685,Lannie,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,13,Activity B,2020-06-28 01:43:50:654,Micheline,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,14,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:41:767,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:42:25:144,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:30:09:469,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:25:20:991,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 19:45:20:896,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 20:33:07:928,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:24:38:404,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:14:51:322,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:51:767,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:53:14:375,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:52:39:018,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:38:26:620,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 20:30:45:331,James,normal,normal,"-"
