case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:41:754,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:52:32:256,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:39:35:362,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:32:22:537,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:18:36:280,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:16:00:295,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:02:45:595,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:56:29:290,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:51:754,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,2,Activity L,2020-06-27 14:58:56:931,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,3,Activity N,2020-06-27 15:54:57:878,Issac,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,4,Activity AC,2020-06-27 16:38:07:867,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,5,Activity AH,2020-06-27 17:13:34:756,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,6,Activity AD,2020-06-27 18:11:14:720,Craig,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,7,Activity S,2020-06-27 19:10:29:004,Lannie,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,8,Activity B,2020-06-27 20:06:36:784,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,9,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:01:754,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:44:05:332,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:34:10:995,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:10:33:241,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 16:57:34:571,Jack,normal,normal,"-"
