case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:11:056,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:06:45:529,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:51:54:112,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:48:12:135,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:37:18:386,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:31:29:892,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:02:14:323,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:31:09:050,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:21:45:513,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:09:13:627,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:41:52:985,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:21:056,Johnny,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,2,Activity C,2020-06-27 15:13:24:447,Roseanne,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,3,Activity D,2020-06-27 16:11:48:580,Alpha,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,4,Activity E,2020-06-27 16:42:01:766,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,5,Activity H,2020-06-27 17:39:19:748,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,6,Activity O,2020-06-27 18:33:03:197,Rossana,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,7,Activity F,2020-06-27 19:08:29:172,Brian,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,8,Activity I,2020-06-27 20:02:45:687,Ling,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,9,Activity P,2020-06-27 20:54:47:721,Wilton,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,10,Activity J,2020-06-27 21:43:16:272,Sherlene,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,11,Activity B,2020-06-27 22:20:09:033,Sherell,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:31:056,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:04:30:085,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:52:46:300,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:25:29:980,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 16:46:47:817,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:44:36:785,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:27:34:293,Emily,normal,normal,"-"
