case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:17:585,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:05:48:960,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:00:16:049,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:46:04:581,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:38:24:343,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:33:12:522,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:14:22:948,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 20:04:09:030,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 21:00:06:016,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:55:59:480,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:22:28:910,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:27:585,Johnny,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,2,Activity C,2020-06-27 15:13:45:616,Roseanne,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,3,Activity D,2020-06-27 16:04:31:381,Alpha,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,4,Activity E,2020-06-27 16:46:44:321,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,5,Activity H,2020-06-27 17:22:11:660,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,6,Activity I,2020-06-27 18:10:42:027,Ling,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,7,Activity O,2020-06-27 18:50:36:275,Rossana,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,8,Activity F,2020-06-27 19:29:07:242,Brian,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,9,Activity P,2020-06-27 20:20:21:920,Wilton,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,10,Activity J,2020-06-27 20:52:25:712,Sherlene,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,11,Activity B,2020-06-27 21:16:20:812,Sherell,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:37:585,Doretta,normal,normal,"-"
