case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:45:737,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:42:33:651,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:39:55:647,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:23:36:547,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:12:15:520,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:05:36:466,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:53:20:097,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:19:07:719,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:07:23:722,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:59:48:472,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:44:44:635,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:55:737,Johnny,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,2,Activity C,2020-06-27 14:46:38:225,Roseanne,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,3,Activity D,2020-06-27 15:36:00:073,Alpha,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
