case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:24:156,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 18:04:32:961,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:55:58:367,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:32:01:283,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:19:20:461,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:11:42:922,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:50:22:686,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:23:46:207,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:14:28:766,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 23:55:16:799,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:13:11:775,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:34:156,Johnny,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,2,Activity C,2020-06-27 18:01:55:063,Roseanne,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,3,Activity D,2020-06-27 18:48:26:928,Alpha,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,4,Activity E,2020-06-27 19:47:27:488,Josef,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,5,Activity H,2020-06-27 20:12:07:147,Josef,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,6,Activity F,2020-06-27 21:02:24:016,Brian,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,7,Activity I,2020-06-27 21:56:38:115,Ling,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,8,Activity O,2020-06-27 22:23:57:215,Rossana,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,9,Activity P,2020-06-27 23:11:07:059,Wilton,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,10,Activity B,2020-06-28 00:05:10:588,Sherell,normal,anomalous,"{'size': 1, 'start': 9, 'skipped': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}]}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:44:156,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 18:06:32:637,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 19:04:21:198,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:39:20:365,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 20:35:48:421,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 21:25:42:382,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 22:09:29:310,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:57:19:578,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 23:50:45:237,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-28 00:39:01:362,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 01:01:09:854,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 01:27:18:495,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:54:156,Jamika,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,2,Activity AB,2020-06-27 17:42:28:117,Brant,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,3,Activity AF,2020-06-27 18:33:59:965,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,4,Activity AI,2020-06-27 19:12:55:054,Amanda,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,5,Activity AH,2020-06-27 19:32:25:095,Issac,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,6,Activity AL,2020-06-27 20:28:45:946,Sherlene,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,7,Activity AN,2020-06-27 21:08:24:672,Clayton,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,8,Activity AM,2020-06-27 21:26:11:698,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,9,Activity AP,2020-06-27 22:16:31:854,Keven,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,10,Activity B,2020-06-27 22:59:47:241,Hoyt,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}]}"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:04:156,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
5,2,Activity AB,2020-06-27 17:48:29:782,Junior,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
